loading dataset MTF_nonMapping_32.pickle ....
loading model ...
start training ...
Epoch: 0 | loss:1.02 | acc:0.4292 | prec0:0.3933 | prec1:0.4070 | prec2:0.5169 | recall0:0.5383  | recall1:0.3546 | recall2:0.3946
Epoch: 1 | loss:1.28 | acc:0.4515 | prec0:0.4467 | prec1:0.4511 | prec2:0.4542 | recall0:0.3594  | recall1:0.3193 | recall2:0.6694
Epoch: 2 | loss:0.95 | acc:0.4851 | prec0:0.4612 | prec1:0.4546 | prec2:0.5419 | recall0:0.4714  | recall1:0.4673 | recall2:0.5156
Epoch: 3 | loss:1.29 | acc:0.5019 | prec0:0.5191 | prec1:0.4583 | prec2:0.5414 | recall0:0.4128  | recall1:0.5647 | recall2:0.5285
Epoch: 4 | loss:1.17 | acc:0.5038 | prec0:0.5192 | prec1:0.4424 | prec2:0.6196 | recall0:0.3910  | recall1:0.6899 | recall2:0.4344
Epoch: 5 | loss:0.87 | acc:0.5397 | prec0:0.4937 | prec1:0.5437 | prec2:0.5954 | recall0:0.6169  | recall1:0.4334 | recall2:0.5668
Epoch: 6 | loss:0.91 | acc:0.5515 | prec0:0.5287 | prec1:0.5335 | prec2:0.5887 | recall0:0.5192  | recall1:0.5183 | recall2:0.6153
Epoch: 7 | loss:0.96 | acc:0.5484 | prec0:0.5040 | prec1:0.5846 | prec2:0.5746 | recall0:0.6143  | recall1:0.4262 | recall2:0.6021
Epoch: 8 | loss:0.52 | acc:0.5538 | prec0:0.5601 | prec1:0.5127 | prec2:0.5955 | recall0:0.4744  | recall1:0.5993 | recall2:0.5873
Epoch: 9 | loss:0.86 | acc:0.5618 | prec0:0.5407 | prec1:0.5400 | prec2:0.6076 | recall0:0.5421  | recall1:0.5731 | recall2:0.5701
Epoch:10 | loss:0.64 | acc:0.5691 | prec0:0.5533 | prec1:0.5620 | prec2:0.5907 | recall0:0.5737  | recall1:0.5190 | recall2:0.6131
Epoch:11 | loss:1.57 | acc:0.5750 | prec0:0.5832 | prec1:0.5354 | prec2:0.6117 | recall0:0.5256  | recall1:0.6020 | recall2:0.5973
Epoch:12 | loss:0.61 | acc:0.5747 | prec0:0.5802 | prec1:0.5421 | prec2:0.6066 | recall0:0.5113  | recall1:0.6176 | recall2:0.5954
Epoch:13 | loss:0.39 | acc:0.5792 | prec0:0.5571 | prec1:0.5769 | prec2:0.6037 | recall0:0.5910  | recall1:0.5266 | recall2:0.6186
Epoch:14 | loss:0.52 | acc:0.5750 | prec0:0.5486 | prec1:0.5790 | prec2:0.5997 | recall0:0.5959  | recall1:0.5354 | recall2:0.5929
Epoch:15 | loss:0.66 | acc:0.5767 | prec0:0.5837 | prec1:0.5469 | prec2:0.6035 | recall0:0.5075  | recall1:0.6187 | recall2:0.6039
Epoch:16 | loss:0.34 | acc:0.5709 | prec0:0.5412 | prec1:0.5875 | prec2:0.5901 | recall0:0.6154  | recall1:0.4981 | recall2:0.5976
Epoch:17 | loss:0.36 | acc:0.5719 | prec0:0.5846 | prec1:0.5352 | prec2:0.6032 | recall0:0.5158  | recall1:0.6199 | recall2:0.5804
Epoch:18 | loss:0.17 | acc:0.5881 | prec0:0.5934 | prec1:0.5575 | prec2:0.6167 | recall0:0.5541  | recall1:0.6126 | recall2:0.5976
Epoch:19 | loss:0.87 | acc:0.5882 | prec0:0.5578 | prec1:0.6009 | prec2:0.6102 | recall0:0.6165  | recall1:0.5392 | recall2:0.6079
Epoch:20 | loss:0.37 | acc:0.5865 | prec0:0.5608 | prec1:0.5880 | prec2:0.6126 | recall0:0.6105  | recall1:0.5365 | recall2:0.6113
Epoch:21 | loss:0.93 | acc:0.5952 | prec0:0.5721 | prec1:0.5908 | prec2:0.6232 | recall0:0.6023  | recall1:0.5620 | recall2:0.6204
Epoch:22 | loss:0.46 | acc:0.5919 | prec0:0.5768 | prec1:0.5788 | prec2:0.6183 | recall0:0.5662  | recall1:0.5757 | recall2:0.6326
Epoch:23 | loss:0.46 | acc:0.5884 | prec0:0.5909 | prec1:0.5713 | prec2:0.6023 | recall0:0.5511  | recall1:0.5852 | recall2:0.6278
Epoch:24 | loss:0.43 | acc:0.5906 | prec0:0.5810 | prec1:0.5658 | prec2:0.6280 | recall0:0.5876  | recall1:0.5989 | recall2:0.5855
Epoch:25 | loss:0.24 | acc:0.5965 | prec0:0.5968 | prec1:0.5950 | prec2:0.5974 | recall0:0.5526  | recall1:0.5635 | recall2:0.6712
