loading dataset MTF_sigmoid_32.pickle ....
loading model ...
start training ...
Epoch: 0 | loss:1.03 | acc:0.4071 | prec0:0.3700 | prec1:0.4506 | prec2:0.4811 | recall0:0.7005  | recall1:0.1382 | recall2:0.3768
Epoch: 1 | loss:1.09 | acc:0.4396 | prec0:0.4463 | prec1:0.3925 | prec2:0.5313 | recall0:0.1924  | recall1:0.6798 | recall2:0.4518
Epoch: 2 | loss:1.15 | acc:0.4678 | prec0:0.4228 | prec1:0.5158 | prec2:0.5202 | recall0:0.6675  | recall1:0.1794 | recall2:0.5516
Epoch: 3 | loss:0.97 | acc:0.4647 | prec0:0.4066 | prec1:0.5156 | prec2:0.6073 | recall0:0.7539  | recall1:0.2937 | recall2:0.3416
Epoch: 4 | loss:1.03 | acc:0.4909 | prec0:0.5295 | prec1:0.4330 | prec2:0.5623 | recall0:0.3525  | recall1:0.6495 | recall2:0.4739
Epoch: 5 | loss:1.15 | acc:0.5234 | prec0:0.4626 | prec1:0.5731 | prec2:0.5902 | recall0:0.6794  | recall1:0.3724 | recall2:0.5152
Epoch: 6 | loss:0.62 | acc:0.5313 | prec0:0.4867 | prec1:0.5651 | prec2:0.5649 | recall0:0.6216  | recall1:0.4156 | recall2:0.5546
Epoch: 7 | loss:0.92 | acc:0.5357 | prec0:0.5083 | prec1:0.5256 | prec2:0.5775 | recall0:0.5423  | recall1:0.5208 | recall2:0.5437
Epoch: 8 | loss:1.37 | acc:0.5468 | prec0:0.5424 | prec1:0.5368 | prec2:0.5587 | recall0:0.5026  | recall1:0.5102 | recall2:0.6277
Epoch: 9 | loss:0.98 | acc:0.5490 | prec0:0.5572 | prec1:0.5383 | prec2:0.5520 | recall0:0.4837  | recall1:0.5375 | recall2:0.6265
Epoch:10 | loss:0.38 | acc:0.5635 | prec0:0.5463 | prec1:0.5725 | prec2:0.5720 | recall0:0.5463  | recall1:0.5257 | recall2:0.6183
Epoch:11 | loss:0.63 | acc:0.5501 | prec0:0.5270 | prec1:0.5696 | prec2:0.5597 | recall0:0.5786  | recall1:0.4444 | recall2:0.6262
Epoch:12 | loss:0.35 | acc:0.5540 | prec0:0.5691 | prec1:0.5324 | prec2:0.5635 | recall0:0.4915  | recall1:0.5757 | recall2:0.5958
Epoch:13 | loss:0.21 | acc:0.5566 | prec0:0.5294 | prec1:0.5699 | prec2:0.5748 | recall0:0.5804  | recall1:0.4996 | recall2:0.5891
Epoch:14 | loss:0.64 | acc:0.5546 | prec0:0.5465 | prec1:0.5339 | prec2:0.5851 | recall0:0.5337  | recall1:0.5609 | recall2:0.5696
Epoch:15 | loss:0.63 | acc:0.5571 | prec0:0.5350 | prec1:0.5451 | prec2:0.5953 | recall0:0.5586  | recall1:0.5579 | recall2:0.5549
Epoch:20 | loss:0.35 | acc:0.5653 | prec0:0.5503 | prec1:0.5648 | prec2:0.5804 | recall0:0.5719  | recall1:0.5049 | recall2:0.6183
Epoch:25 | loss:0.35 | acc:0.5760 | prec0:0.5735 | prec1:0.5638 | prec2:0.5901 | recall0:0.5526  | recall1:0.5655 | recall2:0.6100
Epoch:30 | loss:0.34 | acc:0.5645 | prec0:0.5710 | prec1:0.5330 | prec2:0.5947 | recall0:0.5189  | recall1:0.5995 | recall2:0.5759
Epoch:35 | loss:0.09 | acc:0.5708 | prec0:0.5530 | prec1:0.5754 | prec2:0.5854 | recall0:0.5901  | recall1:0.5242 | recall2:0.5973
Epoch:40 | loss:0.11 | acc:0.5765 | prec0:0.5804 | prec1:0.5585 | prec2:0.5912 | recall0:0.5497  | recall1:0.5833 | recall2:0.5969
Epoch:45 | loss:0.30 | acc:0.5742 | prec0:0.5425 | prec1:0.5811 | prec2:0.6061 | recall0:0.6179  | recall1:0.5235 | recall2:0.5804
Epoch:50 | loss:0.48 | acc:0.5801 | prec0:0.5820 | prec1:0.5475 | prec2:0.6151 | recall0:0.5378  | recall1:0.6064 | recall2:0.5969
Epoch:55 | loss:0.06 | acc:0.5854 | prec0:0.5690 | prec1:0.5797 | prec2:0.6092 | recall0:0.5897  | recall1:0.5836 | recall2:0.5827
Epoch:60 | loss:0.22 | acc:0.5801 | prec0:0.5600 | prec1:0.5969 | prec2:0.5875 | recall0:0.6090  | recall1:0.5174 | recall2:0.6130
Epoch:65 | loss:0.06 | acc:0.5824 | prec0:0.5666 | prec1:0.5920 | prec2:0.5895 | recall0:0.5786  | recall1:0.5519 | recall2:0.6164
Epoch:70 | loss:0.09 | acc:0.5855 | prec0:0.5718 | prec1:0.5715 | prec2:0.6155 | recall0:0.6216  | recall1:0.5507 | recall2:0.5834
Epoch:75 | loss:0.23 | acc:0.5836 | prec0:0.5770 | prec1:0.5872 | prec2:0.5866 | recall0:0.5641  | recall1:0.5503 | recall2:0.6363
Epoch:80 | loss:0.18 | acc:0.5847 | prec0:0.5998 | prec1:0.5631 | prec2:0.5921 | recall0:0.5600  | recall1:0.5772 | recall2:0.6172
Epoch:85 | loss:0.03 | acc:0.5852 | prec0:0.5831 | prec1:0.5752 | prec2:0.5968 | recall0:0.5697  | recall1:0.5700 | recall2:0.6160
Epoch:90 | loss:0.08 | acc:0.5907 | prec0:0.5832 | prec1:0.5738 | prec2:0.6171 | recall0:0.6030  | recall1:0.5840 | recall2:0.5849
Epoch:95 | loss:0.09 | acc:0.5926 | prec0:0.5908 | prec1:0.5811 | prec2:0.6054 | recall0:0.5838  | recall1:0.5749 | recall2:0.6190
Epoch:100 | loss:0.26 | acc:0.5890 | prec0:0.5826 | prec1:0.5824 | prec2:0.6012 | recall0:0.5789  | recall1:0.5643 | recall2:0.6235
