Epoch: 0 | loss:1.14 | acc:0.4045 | prec0:0.4568 | prec1:0.3658 | prec2:0.4647 | recall0:0.1143  | recall1:0.6672 | recall2:0.4418
Epoch: 1 | loss:1.00 | acc:0.4214 | prec0:0.3863 | prec1:0.4878 | prec2:0.4895 | recall0:0.7472  | recall1:0.0833 | recall2:0.4228
Epoch: 2 | loss:0.92 | acc:0.4285 | prec0:0.5714 | prec1:0.3869 | prec2:0.4865 | recall0:0.0440  | recall1:0.7092 | recall2:0.5453
Epoch: 3 | loss:1.17 | acc:0.4597 | prec0:0.4315 | prec1:0.4776 | prec2:0.4815 | recall0:0.5332  | recall1:0.2628 | recall2:0.5810
Epoch: 4 | loss:1.14 | acc:0.4430 | prec0:0.4905 | prec1:0.4013 | prec2:0.4969 | recall0:0.1982  | recall1:0.6755 | recall2:0.4634
Epoch: 5 | loss:0.94 | acc:0.4592 | prec0:0.4799 | prec1:0.4865 | prec2:0.4386 | recall0:0.3639  | recall1:0.3063 | recall2:0.7110
Epoch: 6 | loss:1.10 | acc:0.4838 | prec0:0.5149 | prec1:0.4366 | prec2:0.5247 | recall0:0.3606  | recall1:0.5786 | recall2:0.5165
Epoch: 7 | loss:0.85 | acc:0.4877 | prec0:0.4948 | prec1:0.4657 | prec2:0.4994 | recall0:0.4218  | recall1:0.4343 | recall2:0.6094
Epoch: 8 | loss:0.91 | acc:0.4941 | prec0:0.5494 | prec1:0.4847 | prec2:0.4765 | recall0:0.3302  | recall1:0.4733 | recall2:0.6845
Epoch: 9 | loss:1.03 | acc:0.5003 | prec0:0.5127 | prec1:0.4604 | prec2:0.5453 | recall0:0.4379  | recall1:0.5831 | recall2:0.4820
Epoch:10 | loss:0.93 | acc:0.5180 | prec0:0.5088 | prec1:0.5064 | prec2:0.5375 | recall0:0.4745  | recall1:0.5100 | recall2:0.5711
Epoch:11 | loss:1.21 | acc:0.5155 | prec0:0.5452 | prec1:0.4649 | prec2:0.5620 | recall0:0.4221  | recall1:0.6100 | recall2:0.5176
Epoch:12 | loss:1.51 | acc:0.5084 | prec0:0.5033 | prec1:0.4676 | prec2:0.5807 | recall0:0.4716  | recall1:0.5964 | recall2:0.4585
