Epoch: 0 | loss:1.10 | acc:0.3903 | prec0:0.3661 | prec1:0.3922 | prec2:0.4487 | recall0:0.7272  | recall1:0.0783 | recall2:0.3687
Epoch: 1 | loss:1.36 | acc:0.4040 | prec0:0.3735 | prec1:0.3815 | prec2:0.4682 | recall0:0.6443  | recall1:0.1284 | recall2:0.4428
Epoch: 2 | loss:1.13 | acc:0.4169 | prec0:0.3786 | prec1:0.4271 | prec2:0.4824 | recall0:0.6281  | recall1:0.1892 | recall2:0.4360
Epoch: 3 | loss:1.22 | acc:0.4306 | prec0:0.4051 | prec1:0.4369 | prec2:0.4502 | recall0:0.4634  | recall1:0.2338 | recall2:0.5980
Epoch: 4 | loss:1.43 | acc:0.4311 | prec0:0.3969 | prec1:0.4918 | prec2:0.4580 | recall0:0.5895  | recall1:0.1440 | recall2:0.5640
Epoch: 5 | loss:1.11 | acc:0.4377 | prec0:0.4409 | prec1:0.3984 | prec2:0.4914 | recall0:0.3189  | recall1:0.5284 | recall2:0.4651
Epoch: 6 | loss:0.95 | acc:0.4535 | prec0:0.4296 | prec1:0.4361 | prec2:0.5023 | recall0:0.4927  | recall1:0.4130 | recall2:0.4552
Epoch: 7 | loss:1.06 | acc:0.4593 | prec0:0.4598 | prec1:0.4320 | prec2:0.4905 | recall0:0.3306  | recall1:0.5224 | recall2:0.5247
Epoch: 8 | loss:1.09 | acc:0.4610 | prec0:0.4293 | prec1:0.4817 | prec2:0.4883 | recall0:0.5711  | recall1:0.2642 | recall2:0.5504
Epoch: 9 | loss:1.18 | acc:0.4660 | prec0:0.4853 | prec1:0.4468 | prec2:0.4732 | recall0:0.3280  | recall1:0.4998 | recall2:0.5705
Epoch:10 | loss:1.37 | acc:0.4798 | prec0:0.4800 | prec1:0.4438 | prec2:0.5259 | recall0:0.4326  | recall1:0.5187 | recall2:0.4877
Epoch:11 | loss:0.74 | acc:0.4755 | prec0:0.4714 | prec1:0.4841 | prec2:0.4730 | recall0:0.4454  | recall1:0.3837 | recall2:0.5992
Epoch:12 | loss:0.83 | acc:0.4726 | prec0:0.4871 | prec1:0.4386 | prec2:0.5122 | recall0:0.3325  | recall1:0.6007 | recall2:0.4832
Epoch:13 | loss:0.91 | acc:0.4847 | prec0:0.4632 | prec1:0.4814 | prec2:0.5105 | recall0:0.5144  | recall1:0.4074 | recall2:0.5334
Epoch:14 | loss:1.31 | acc:0.4934 | prec0:0.4667 | prec1:0.4906 | prec2:0.5301 | recall0:0.5553  | recall1:0.4275 | recall2:0.4983
Epoch:15 | loss:0.79 | acc:0.4917 | prec0:0.4462 | prec1:0.5458 | prec2:0.5213 | recall0:0.6195  | recall1:0.3358 | recall2:0.5217
Epoch:16 | loss:1.41 | acc:0.4932 | prec0:0.4845 | prec1:0.4987 | prec2:0.4968 | recall0:0.4916  | recall1:0.4234 | recall2:0.5659
