Epoch: 0 | loss:1.25 | acc:0.3879 | prec0:0.3900 | prec1:0.3533 | prec2:0.4930 | recall0:0.0298  | recall1:0.7906 | recall2:0.3443
Epoch: 1 | loss:1.23 | acc:0.4317 | prec0:0.4067 | prec1:0.4057 | prec2:0.4596 | recall0:0.4385  | recall1:0.2121 | recall2:0.6340
Epoch: 2 | loss:0.90 | acc:0.4281 | prec0:0.4066 | prec1:0.3875 | prec2:0.5151 | recall0:0.4759  | recall1:0.4212 | recall2:0.3895
Epoch: 3 | loss:1.31 | acc:0.4489 | prec0:0.4147 | prec1:0.4261 | prec2:0.5206 | recall0:0.4954  | recall1:0.4185 | recall2:0.4336
Epoch: 4 | loss:1.14 | acc:0.4665 | prec0:0.4456 | prec1:0.4462 | prec2:0.5039 | recall0:0.5153  | recall1:0.3629 | recall2:0.5186
Epoch: 5 | loss:0.87 | acc:0.4670 | prec0:0.4730 | prec1:0.4398 | prec2:0.4849 | recall0:0.4014  | recall1:0.4353 | recall2:0.5591
Epoch: 6 | loss:0.90 | acc:0.4867 | prec0:0.4773 | prec1:0.4709 | prec2:0.5054 | recall0:0.5222  | recall1:0.3602 | recall2:0.5732
Epoch: 7 | loss:0.71 | acc:0.4901 | prec0:0.5373 | prec1:0.4526 | prec2:0.4999 | recall0:0.3245  | recall1:0.5015 | recall2:0.6358
Epoch: 8 | loss:0.94 | acc:0.5047 | prec0:0.4864 | prec1:0.4851 | prec2:0.5421 | recall0:0.5352  | recall1:0.4513 | recall2:0.5266
Epoch: 9 | loss:1.40 | acc:0.5001 | prec0:0.5088 | prec1:0.4728 | prec2:0.5138 | recall0:0.4881  | recall1:0.4269 | recall2:0.5808
Epoch:10 | loss:0.47 | acc:0.5184 | prec0:0.5177 | prec1:0.4898 | prec2:0.5462 | recall0:0.5080  | recall1:0.4943 | recall2:0.5512
Epoch:11 | loss:0.49 | acc:0.5141 | prec0:0.5279 | prec1:0.4816 | prec2:0.5334 | recall0:0.4805  | recall1:0.5027 | recall2:0.5566
Epoch:12 | loss:0.57 | acc:0.5298 | prec0:0.5290 | prec1:0.5025 | prec2:0.5564 | recall0:0.5306  | recall1:0.5011 | recall2:0.5562
Epoch:13 | loss:0.59 | acc:0.5389 | prec0:0.5413 | prec1:0.5068 | prec2:0.5660 | recall0:0.5130  | recall1:0.5088 | recall2:0.5920
Epoch:14 | loss:0.16 | acc:0.5314 | prec0:0.5335 | prec1:0.5352 | prec2:0.5275 | recall0:0.5424  | recall1:0.4113 | recall2:0.6351
Epoch:15 | loss:0.59 | acc:0.5198 | prec0:0.5125 | prec1:0.4984 | prec2:0.5507 | recall0:0.5034  | recall1:0.5419 | recall2:0.5143
Epoch:16 | loss:0.59 | acc:0.5308 | prec0:0.5282 | prec1:0.5088 | prec2:0.5528 | recall0:0.5271  | recall1:0.4928 | recall2:0.5703
Epoch:17 | loss:0.54 | acc:0.5329 | prec0:0.5305 | prec1:0.5238 | prec2:0.5416 | recall0:0.5145  | recall1:0.4657 | recall2:0.6141
Epoch:18 | loss:1.00 | acc:0.5273 | prec0:0.5296 | prec1:0.4891 | prec2:0.5684 | recall0:0.4851  | recall1:0.5552 | recall2:0.5407
Epoch:19 | loss:0.16 | acc:0.5429 | prec0:0.5410 | prec1:0.5313 | prec2:0.5536 | recall0:0.5245  | recall1:0.4874 | recall2:0.6130
Epoch:20 | loss:0.23 | acc:0.5397 | prec0:0.5250 | prec1:0.5134 | prec2:0.5801 | recall0:0.5730  | recall1:0.4886 | recall2:0.5566
Epoch:21 | loss:0.25 | acc:0.5385 | prec0:0.5233 | prec1:0.5312 | prec2:0.5575 | recall0:0.5581  | recall1:0.4349 | recall2:0.6184
Epoch:22 | loss:0.13 | acc:0.5438 | prec0:0.5182 | prec1:0.5207 | prec2:0.5957 | recall0:0.5765  | recall1:0.5030 | recall2:0.5515
Epoch:23 | loss:0.46 | acc:0.5464 | prec0:0.5310 | prec1:0.5472 | prec2:0.5589 | recall0:0.5264  | recall1:0.4947 | recall2:0.6145
Epoch:24 | loss:0.05 | acc:0.5438 | prec0:0.5243 | prec1:0.5144 | prec2:0.6005 | recall0:0.5826  | recall1:0.5293 | recall2:0.5208
Epoch:25 | loss:0.20 | acc:0.5427 | prec0:0.5233 | prec1:0.5328 | prec2:0.5715 | recall0:0.5700  | recall1:0.4916 | recall2:0.5653
Epoch:26 | loss:0.76 | acc:0.5380 | prec0:0.5123 | prec1:0.5193 | prec2:0.5881 | recall0:0.5803  | recall1:0.5069 | recall2:0.5277
Epoch:27 | loss:0.26 | acc:0.5319 | prec0:0.5098 | prec1:0.5166 | prec2:0.5693 | recall0:0.5493  | recall1:0.4912 | recall2:0.5541
Epoch:28 | loss:0.15 | acc:0.5384 | prec0:0.5252 | prec1:0.5093 | prec2:0.5865 | recall0:0.5543  | recall1:0.5419 | recall2:0.5201
Epoch:29 | loss:0.07 | acc:0.5478 | prec0:0.5498 | prec1:0.5248 | prec2:0.5661 | recall0:0.5271  | recall1:0.5122 | recall2:0.6011
Epoch:30 | loss:0.38 | acc:0.5460 | prec0:0.5491 | prec1:0.5208 | prec2:0.5675 | recall0:0.5149  | recall1:0.5385 | recall2:0.5826
Epoch:31 | loss:0.24 | acc:0.5434 | prec0:0.5190 | prec1:0.5253 | prec2:0.5886 | recall0:0.5856  | recall1:0.4939 | recall2:0.5505
Epoch:32 | loss:0.42 | acc:0.5436 | prec0:0.5327 | prec1:0.5264 | prec2:0.5692 | recall0:0.5478  | recall1:0.4977 | recall2:0.5834
Epoch:33 | loss:0.28 | acc:0.5474 | prec0:0.5339 | prec1:0.5251 | prec2:0.5841 | recall0:0.5562  | recall1:0.5331 | recall2:0.5526
Epoch:34 | loss:0.61 | acc:0.5357 | prec0:0.5205 | prec1:0.5020 | prec2:0.5958 | recall0:0.5784  | recall1:0.5350 | recall2:0.4958
Epoch:35 | loss:0.10 | acc:0.5508 | prec0:0.5479 | prec1:0.5234 | prec2:0.5803 | recall0:0.5447  | recall1:0.5327 | recall2:0.5736
Epoch:36 | loss:0.07 | acc:0.5554 | prec0:0.5302 | prec1:0.5430 | prec2:0.5975 | recall0:0.5967  | recall1:0.5270 | recall2:0.5432
Epoch:37 | loss:0.46 | acc:0.5530 | prec0:0.5409 | prec1:0.5426 | prec2:0.5743 | recall0:0.5868  | recall1:0.4924 | recall2:0.5787
Epoch:38 | loss:0.19 | acc:0.5483 | prec0:0.5342 | prec1:0.5297 | prec2:0.5790 | recall0:0.5585  | recall1:0.5057 | recall2:0.5790
Epoch:39 | loss:0.86 | acc:0.5478 | prec0:0.5585 | prec1:0.5173 | prec2:0.5692 | recall0:0.5130  | recall1:0.5533 | recall2:0.5754
Epoch:40 | loss:0.08 | acc:0.5493 | prec0:0.5397 | prec1:0.5244 | prec2:0.5850 | recall0:0.5612  | recall1:0.5366 | recall2:0.5501
Epoch:41 | loss:0.18 | acc:0.5440 | prec0:0.5389 | prec1:0.5256 | prec2:0.5653 | recall0:0.5371  | recall1:0.5122 | recall2:0.5808
Epoch:42 | loss:0.24 | acc:0.5565 | prec0:0.5668 | prec1:0.5311 | prec2:0.5714 | recall0:0.5256  | recall1:0.5423 | recall2:0.5993
Epoch:43 | loss:0.17 | acc:0.5500 | prec0:0.5463 | prec1:0.5396 | prec2:0.5625 | recall0:0.5371  | recall1:0.5236 | recall2:0.5873
Epoch:44 | loss:0.19 | acc:0.5565 | prec0:0.5390 | prec1:0.5451 | prec2:0.5833 | recall0:0.5631  | recall1:0.5065 | recall2:0.5978
Epoch:45 | loss:0.03 | acc:0.5534 | prec0:0.5464 | prec1:0.5403 | prec2:0.5709 | recall0:0.5562  | recall1:0.5050 | recall2:0.5967
Epoch:46 | loss:0.33 | acc:0.5490 | prec0:0.5392 | prec1:0.5482 | prec2:0.5589 | recall0:0.5864  | recall1:0.4486 | recall2:0.6090
Epoch:47 | loss:0.48 | acc:0.5541 | prec0:0.5433 | prec1:0.5239 | prec2:0.5985 | recall0:0.5612  | recall1:0.5510 | recall2:0.5505
Epoch:48 | loss:0.06 | acc:0.5458 | prec0:0.5271 | prec1:0.5271 | prec2:0.5850 | recall0:0.5623  | recall1:0.5289 | recall2:0.5461
Epoch:49 | loss:0.31 | acc:0.5441 | prec0:0.5375 | prec1:0.5387 | prec2:0.5541 | recall0:0.5474  | recall1:0.4741 | recall2:0.6076
Epoch:50 | loss:0.57 | acc:0.5554 | prec0:0.5652 | prec1:0.5249 | prec2:0.5786 | recall0:0.5054  | recall1:0.5746 | recall2:0.5844
Epoch:51 | loss:0.20 | acc:0.5525 | prec0:0.5377 | prec1:0.5267 | prec2:0.5967 | recall0:0.5455  | recall1:0.5644 | recall2:0.5479
Epoch:52 | loss:0.49 | acc:0.5539 | prec0:0.5416 | prec1:0.5407 | prec2:0.5770 | recall0:0.5451  | recall1:0.5209 | recall2:0.5935
Epoch:53 | loss:0.23 | acc:0.5538 | prec0:0.5408 | prec1:0.5476 | prec2:0.5707 | recall0:0.5520  | recall1:0.5042 | recall2:0.6025
Epoch:54 | loss:0.32 | acc:0.5501 | prec0:0.5413 | prec1:0.5274 | prec2:0.5790 | recall0:0.5291  | recall1:0.5240 | recall2:0.5949
Epoch:55 | loss:0.04 | acc:0.5549 | prec0:0.5373 | prec1:0.5491 | prec2:0.5771 | recall0:0.5837  | recall1:0.4836 | recall2:0.5953
Epoch:56 | loss:0.08 | acc:0.5569 | prec0:0.5544 | prec1:0.5375 | prec2:0.5763 | recall0:0.5283  | recall1:0.5316 | recall2:0.6080
Epoch:57 | loss:0.01 | acc:0.5568 | prec0:0.5599 | prec1:0.5294 | prec2:0.5804 | recall0:0.5375  | recall1:0.5449 | recall2:0.5863
Epoch:58 | loss:0.21 | acc:0.5453 | prec0:0.5364 | prec1:0.5118 | prec2:0.5932 | recall0:0.5665  | recall1:0.5430 | recall2:0.5273
