Epoch: 0 | loss:0.99 | acc:0.4546 | prec0:0.4236 | prec1:0.4364 | prec2:0.5110 | recall0:0.5454  | recall1:0.3403 | recall2:0.4791
Epoch: 1 | loss:0.89 | acc:0.4827 | prec0:0.4301 | prec1:0.5162 | prec2:0.5425 | recall0:0.6293  | recall1:0.3340 | recall2:0.4869
Epoch: 2 | loss:0.91 | acc:0.5084 | prec0:0.4826 | prec1:0.4819 | prec2:0.5775 | recall0:0.5682  | recall1:0.4882 | recall2:0.4702
Epoch: 3 | loss:0.85 | acc:0.5204 | prec0:0.5134 | prec1:0.4859 | prec2:0.5678 | recall0:0.4858  | recall1:0.5421 | recall2:0.5327
Epoch: 4 | loss:1.01 | acc:0.5187 | prec0:0.5236 | prec1:0.5684 | prec2:0.4898 | recall0:0.4550  | recall1:0.4167 | recall2:0.6815
Epoch: 5 | loss:0.77 | acc:0.5496 | prec0:0.5223 | prec1:0.5769 | prec2:0.5590 | recall0:0.5860  | recall1:0.4017 | recall2:0.6604
Epoch: 6 | loss:0.87 | acc:0.5449 | prec0:0.5477 | prec1:0.5135 | prec2:0.5828 | recall0:0.5036  | recall1:0.6061 | recall2:0.5246
Epoch: 7 | loss:0.61 | acc:0.5456 | prec0:0.5310 | prec1:0.6160 | prec2:0.5264 | recall0:0.5750  | recall1:0.3628 | recall2:0.6977
Epoch: 8 | loss:0.74 | acc:0.5695 | prec0:0.5668 | prec1:0.5611 | prec2:0.5790 | recall0:0.5401  | recall1:0.5313 | recall2:0.6360
Epoch: 9 | loss:0.65 | acc:0.5402 | prec0:0.6040 | prec1:0.5443 | prec2:0.5106 | recall0:0.3574  | recall1:0.5515 | recall2:0.7070
Epoch:10 | loss:0.51 | acc:0.5663 | prec0:0.5376 | prec1:0.5243 | prec2:0.6909 | recall0:0.6130  | recall1:0.6338 | recall2:0.4539
Epoch:11 | loss:0.46 | acc:0.5791 | prec0:0.5853 | prec1:0.5486 | prec2:0.6086 | recall0:0.5431  | recall1:0.6144 | recall2:0.5794
Epoch:12 | loss:0.59 | acc:0.5962 | prec0:0.5808 | prec1:0.5721 | prec2:0.6398 | recall0:0.5963  | recall1:0.5998 | recall2:0.5927
Epoch:13 | loss:0.44 | acc:0.5899 | prec0:0.6146 | prec1:0.5932 | prec2:0.5716 | recall0:0.5093  | recall1:0.5410 | recall2:0.7166
Epoch:14 | loss:0.19 | acc:0.5894 | prec0:0.6182 | prec1:0.5601 | prec2:0.5967 | recall0:0.5017  | recall1:0.5998 | recall2:0.6644
Epoch:15 | loss:0.23 | acc:0.5914 | prec0:0.5505 | prec1:0.5690 | prec2:0.6748 | recall0:0.6229  | recall1:0.6001 | recall2:0.5520
Epoch:16 | loss:0.11 | acc:0.5931 | prec0:0.5567 | prec1:0.5936 | prec2:0.6382 | recall0:0.6392  | recall1:0.5721 | recall2:0.5690
Epoch:17 | loss:0.67 | acc:0.5851 | prec0:0.5751 | prec1:0.5494 | prec2:0.6452 | recall0:0.5480  | recall1:0.6556 | recall2:0.5516
Epoch:18 | loss:0.45 | acc:0.5970 | prec0:0.6051 | prec1:0.5996 | prec2:0.5887 | recall0:0.5499  | recall1:0.5578 | recall2:0.6815
Epoch:19 | loss:0.18 | acc:0.6023 | prec0:0.5917 | prec1:0.5840 | prec2:0.6318 | recall0:0.6054  | recall1:0.5844 | recall2:0.6171
Epoch:20 | loss:0.37 | acc:0.5987 | prec0:0.6016 | prec1:0.5578 | prec2:0.6490 | recall0:0.5363  | recall1:0.6668 | recall2:0.5923
Epoch:21 | loss:0.13 | acc:0.5995 | prec0:0.6005 | prec1:0.5713 | prec2:0.6297 | recall0:0.5412  | recall1:0.6327 | recall2:0.6234
Epoch:22 | loss:0.06 | acc:0.6121 | prec0:0.5989 | prec1:0.5729 | prec2:0.6752 | recall0:0.5727  | recall1:0.6563 | recall2:0.6067
Epoch:23 | loss:0.08 | acc:0.5970 | prec0:0.5872 | prec1:0.6021 | prec2:0.6012 | recall0:0.5765  | recall1:0.5739 | recall2:0.6397
Epoch:24 | loss:0.31 | acc:0.6115 | prec0:0.5791 | prec1:0.6189 | prec2:0.6427 | recall0:0.6635  | recall1:0.5661 | recall2:0.6056
Epoch:25 | loss:0.12 | acc:0.6036 | prec0:0.5782 | prec1:0.5938 | prec2:0.6413 | recall0:0.6054  | recall1:0.5983 | recall2:0.6071
Epoch:26 | loss:0.22 | acc:0.6055 | prec0:0.5640 | prec1:0.6160 | prec2:0.6466 | recall0:0.6608  | recall1:0.5635 | recall2:0.5930
Epoch:27 | loss:0.49 | acc:0.6066 | prec0:0.5785 | prec1:0.6238 | prec2:0.6204 | recall0:0.6202  | recall1:0.5432 | recall2:0.6559
Epoch:28 | loss:0.17 | acc:0.6221 | prec0:0.5945 | prec1:0.6278 | prec2:0.6455 | recall0:0.6320  | recall1:0.5942 | recall2:0.6400
Epoch:29 | loss:0.07 | acc:0.6092 | prec0:0.6004 | prec1:0.6067 | prec2:0.6189 | recall0:0.5724  | recall1:0.5799 | recall2:0.6741
Epoch:30 | loss:0.06 | acc:0.6158 | prec0:0.6527 | prec1:0.5912 | prec2:0.6145 | recall0:0.5089  | recall1:0.6410 | recall2:0.6952
Epoch:31 | loss:0.08 | acc:0.6208 | prec0:0.5939 | prec1:0.6013 | prec2:0.6744 | recall0:0.6198  | recall1:0.6398 | recall2:0.6030
Epoch:32 | loss:0.01 | acc:0.6140 | prec0:0.6235 | prec1:0.6148 | prec2:0.6061 | recall0:0.5572  | recall1:0.5885 | recall2:0.6944
Epoch:33 | loss:0.27 | acc:0.6135 | prec0:0.5627 | prec1:0.6398 | prec2:0.6511 | recall0:0.6631  | recall1:0.5739 | recall2:0.6041
Epoch:34 | loss:0.14 | acc:0.6198 | prec0:0.5826 | prec1:0.6449 | prec2:0.6405 | recall0:0.6707  | recall1:0.5534 | recall2:0.6360
