Epoch: 0 | loss:1.14 | acc:0.4259 | prec0:0.4129 | prec1:0.5202 | prec2:0.4171 | recall0:0.4209  | recall1:0.1529 | recall2:0.7051
Epoch: 1 | loss:1.09 | acc:0.4345 | prec0:0.4633 | prec1:0.3925 | prec2:0.6065 | recall0:0.2973  | recall1:0.7725 | recall2:0.2293
Epoch: 2 | loss:1.23 | acc:0.5017 | prec0:0.4771 | prec1:0.5195 | prec2:0.5171 | recall0:0.5779  | recall1:0.3258 | recall2:0.6037
Epoch: 3 | loss:0.70 | acc:0.4923 | prec0:0.5346 | prec1:0.4368 | prec2:0.5652 | recall0:0.3882  | recall1:0.6627 | recall2:0.4232
Epoch: 4 | loss:1.03 | acc:0.5224 | prec0:0.4882 | prec1:0.5040 | prec2:0.5954 | recall0:0.5814  | recall1:0.5087 | recall2:0.4784
Epoch: 5 | loss:0.76 | acc:0.5104 | prec0:0.4762 | prec1:0.5034 | prec2:0.5690 | recall0:0.5395  | recall1:0.5477 | recall2:0.4444
Epoch: 6 | loss:0.80 | acc:0.5177 | prec0:0.5191 | prec1:0.4791 | prec2:0.5976 | recall0:0.4958  | recall1:0.6646 | recall2:0.3915
Epoch: 7 | loss:0.66 | acc:0.5428 | prec0:0.5056 | prec1:0.5498 | prec2:0.5788 | recall0:0.5624  | recall1:0.5239 | recall2:0.5425
Epoch: 8 | loss:0.63 | acc:0.5405 | prec0:0.4773 | prec1:0.5580 | prec2:0.6549 | recall0:0.7209  | recall1:0.4497 | recall2:0.4549
Epoch: 9 | loss:0.41 | acc:0.5548 | prec0:0.5795 | prec1:0.5066 | prec2:0.5983 | recall0:0.4753  | recall1:0.6312 | recall2:0.5559
Epoch:10 | loss:0.51 | acc:0.5476 | prec0:0.5578 | prec1:0.5335 | prec2:0.5529 | recall0:0.4825  | recall1:0.5436 | recall2:0.6156
Epoch:11 | loss:0.41 | acc:0.5717 | prec0:0.5664 | prec1:0.5347 | prec2:0.6309 | recall0:0.5369  | recall1:0.6453 | recall2:0.5321
Epoch:12 | loss:0.45 | acc:0.5757 | prec0:0.5545 | prec1:0.5917 | prec2:0.5816 | recall0:0.5593  | recall1:0.5484 | recall2:0.6193
Epoch:13 | loss:0.45 | acc:0.5835 | prec0:0.5711 | prec1:0.6037 | prec2:0.5789 | recall0:0.5894  | recall1:0.5239 | recall2:0.6376
Epoch:14 | loss:0.44 | acc:0.5837 | prec0:0.5782 | prec1:0.5685 | prec2:0.6054 | recall0:0.5624  | recall1:0.5941 | recall2:0.5943
Epoch:15 | loss:0.45 | acc:0.5905 | prec0:0.5637 | prec1:0.5895 | prec2:0.6222 | recall0:0.6008  | recall1:0.6015 | recall2:0.5694
