Epoch: 0 | loss:0.99 | acc:0.4119 | prec0:0.4210 | prec1:0.3807 | prec2:0.5955 | recall0:0.4337  | recall1:0.6604 | recall2:0.1421
Epoch: 1 | loss:1.04 | acc:0.4931 | prec0:0.5486 | prec1:0.4762 | prec2:0.4791 | recall0:0.3413  | recall1:0.4772 | recall2:0.6679
Epoch: 2 | loss:0.96 | acc:0.5034 | prec0:0.5267 | prec1:0.4465 | prec2:0.5730 | recall0:0.4141  | recall1:0.6164 | recall2:0.4848
Epoch: 3 | loss:0.88 | acc:0.5153 | prec0:0.4947 | prec1:0.5052 | prec2:0.5613 | recall0:0.6254  | recall1:0.4677 | recall2:0.4472
Epoch: 4 | loss:0.45 | acc:0.5349 | prec0:0.5267 | prec1:0.5074 | prec2:0.5745 | recall0:0.5399  | recall1:0.5254 | recall2:0.5391
Epoch: 5 | loss:0.64 | acc:0.5484 | prec0:0.5312 | prec1:0.5564 | prec2:0.5596 | recall0:0.5583  | recall1:0.4864 | recall2:0.5995
Epoch: 6 | loss:0.50 | acc:0.5260 | prec0:0.6054 | prec1:0.4515 | prec2:0.6382 | recall0:0.3808  | recall1:0.7778 | recall2:0.4282
Epoch: 7 | loss:0.40 | acc:0.5424 | prec0:0.5000 | prec1:0.5573 | prec2:0.5978 | recall0:0.6428  | recall1:0.5078 | recall2:0.4715
Epoch: 8 | loss:0.53 | acc:0.5613 | prec0:0.5731 | prec1:0.5607 | prec2:0.5517 | recall0:0.5380  | recall1:0.4979 | recall2:0.6486
Epoch: 9 | loss:0.23 | acc:0.5691 | prec0:0.5756 | prec1:0.5326 | prec2:0.6078 | recall0:0.5710  | recall1:0.6000 | recall2:0.5365
Epoch:10 | loss:0.21 | acc:0.5750 | prec0:0.6264 | prec1:0.5695 | prec2:0.5470 | recall0:0.4830  | recall1:0.5346 | recall2:0.7116
Epoch:11 | loss:0.10 | acc:0.5633 | prec0:0.5892 | prec1:0.5199 | prec2:0.5952 | recall0:0.5036  | recall1:0.6382 | recall2:0.5513
