Epoch: 0 | loss:1.37 | acc:0.3768 | prec0:0.3848 | prec1:0.3586 | prec2:0.3953 | recall0:0.1578  | recall1:0.5072 | recall2:0.4607
Epoch: 1 | loss:1.07 | acc:0.3758 | prec0:0.3735 | prec1:0.3630 | prec2:0.3807 | recall0:0.3035  | recall1:0.1885 | recall2:0.6245
Epoch: 2 | loss:1.08 | acc:0.3614 | prec0:0.3442 | prec1:0.3688 | prec2:0.4196 | recall0:0.7484  | recall1:0.0986 | recall2:0.2442
Epoch: 3 | loss:1.06 | acc:0.3795 | prec0:0.3578 | prec1:0.3831 | prec2:0.4250 | recall0:0.5387  | recall1:0.3426 | recall2:0.2631
Epoch: 4 | loss:0.84 | acc:0.3955 | prec0:0.3750 | prec1:0.3937 | prec2:0.4243 | recall0:0.4815  | recall1:0.3149 | recall2:0.3908
Epoch: 5 | loss:0.90 | acc:0.3835 | prec0:0.3811 | prec1:0.3729 | prec2:0.3942 | recall0:0.3244  | recall1:0.3710 | recall2:0.4520
Epoch: 6 | loss:0.72 | acc:0.3954 | prec0:0.3816 | prec1:0.3797 | prec2:0.4240 | recall0:0.4159  | recall1:0.3502 | recall2:0.4192
Epoch: 7 | loss:0.58 | acc:0.3962 | prec0:0.3804 | prec1:0.3951 | prec2:0.4094 | recall0:0.3751  | recall1:0.3266 | recall2:0.4829
Epoch: 8 | loss:0.42 | acc:0.3975 | prec0:0.4298 | prec1:0.3697 | prec2:0.4339 | recall0:0.1738  | recall1:0.6263 | recall2:0.3916
Epoch: 9 | loss:0.64 | acc:0.4086 | prec0:0.3977 | prec1:0.3978 | prec2:0.4243 | recall0:0.3363  | recall1:0.3782 | recall2:0.5069
Epoch:10 | loss:0.69 | acc:0.4176 | prec0:0.3995 | prec1:0.4173 | prec2:0.4387 | recall0:0.5051  | recall1:0.2841 | recall2:0.4622
Epoch:11 | loss:0.45 | acc:0.4125 | prec0:0.4203 | prec1:0.3886 | prec2:0.4392 | recall0:0.2573  | recall1:0.5349 | recall2:0.4432
Epoch:12 | loss:0.33 | acc:0.4078 | prec0:0.4233 | prec1:0.3973 | prec2:0.4116 | recall0:0.1967  | recall1:0.4715 | recall2:0.5480
Epoch:13 | loss:0.24 | acc:0.4111 | prec0:0.4101 | prec1:0.3910 | prec2:0.4375 | recall0:0.3679  | recall1:0.4674 | recall2:0.3985
Epoch:14 | loss:0.22 | acc:0.4190 | prec0:0.4121 | prec1:0.3989 | prec2:0.4480 | recall0:0.3458  | recall1:0.4715 | recall2:0.4385
Epoch:15 | loss:0.19 | acc:0.4139 | prec0:0.4026 | prec1:0.3962 | prec2:0.4495 | recall0:0.3507  | recall1:0.5027 | recall2:0.3890
Epoch:16 | loss:0.38 | acc:0.4178 | prec0:0.4002 | prec1:0.4302 | prec2:0.4246 | recall0:0.4068  | recall1:0.3005 | recall2:0.5408
Epoch:17 | loss:0.21 | acc:0.4203 | prec0:0.4059 | prec1:0.4108 | prec2:0.4448 | recall0:0.4243  | recall1:0.4112 | recall2:0.4250
Epoch:18 | loss:0.13 | acc:0.4124 | prec0:0.4088 | prec1:0.4042 | prec2:0.4221 | recall0:0.4091  | recall1:0.3665 | recall2:0.4596
Epoch:19 | loss:0.18 | acc:0.4136 | prec0:0.4047 | prec1:0.3917 | prec2:0.4634 | recall0:0.4346  | recall1:0.4829 | recall2:0.3271
Epoch:20 | loss:0.03 | acc:0.4221 | prec0:0.4100 | prec1:0.4021 | prec2:0.4575 | recall0:0.3866  | recall1:0.4564 | recall2:0.4232
Epoch:21 | loss:0.37 | acc:0.4130 | prec0:0.4045 | prec1:0.4050 | prec2:0.4266 | recall0:0.4125  | recall1:0.3536 | recall2:0.4705
Epoch:22 | loss:0.07 | acc:0.4198 | prec0:0.4185 | prec1:0.4002 | prec2:0.4396 | recall0:0.3671  | recall1:0.4253 | recall2:0.4647
Epoch:23 | loss:0.24 | acc:0.4201 | prec0:0.4000 | prec1:0.4216 | prec2:0.4425 | recall0:0.4720  | recall1:0.3653 | recall2:0.4232
Epoch:24 | loss:0.33 | acc:0.4170 | prec0:0.4208 | prec1:0.3992 | prec2:0.4338 | recall0:0.3260  | recall1:0.4715 | recall2:0.4516
Epoch:25 | loss:0.40 | acc:0.4246 | prec0:0.4150 | prec1:0.4048 | prec2:0.4580 | recall0:0.4682  | recall1:0.4040 | recall2:0.4028
Epoch:26 | loss:0.27 | acc:0.4210 | prec0:0.4130 | prec1:0.4029 | prec2:0.4515 | recall0:0.4201  | recall1:0.4458 | recall2:0.3981
Epoch:27 | loss:0.40 | acc:0.4196 | prec0:0.4106 | prec1:0.4047 | prec2:0.4475 | recall0:0.3774  | recall1:0.4807 | recall2:0.4014
Epoch:28 | loss:0.22 | acc:0.4196 | prec0:0.3995 | prec1:0.4071 | prec2:0.4667 | recall0:0.4964  | recall1:0.4090 | recall2:0.3566
Epoch:29 | loss:0.05 | acc:0.4225 | prec0:0.3893 | prec1:0.4262 | prec2:0.4848 | recall0:0.5860  | recall1:0.3361 | recall2:0.3493
Epoch:30 | loss:0.40 | acc:0.4269 | prec0:0.4190 | prec1:0.4071 | prec2:0.4558 | recall0:0.3374  | recall1:0.4879 | recall2:0.4538
Epoch:31 | loss:0.16 | acc:0.4246 | prec0:0.4139 | prec1:0.4122 | prec2:0.4475 | recall0:0.4533  | recall1:0.3832 | recall2:0.4370
Epoch:32 | loss:0.22 | acc:0.4275 | prec0:0.4018 | prec1:0.4228 | prec2:0.4779 | recall0:0.5444  | recall1:0.3873 | recall2:0.3544
Epoch:33 | loss:0.09 | acc:0.4229 | prec0:0.4133 | prec1:0.4060 | prec2:0.4517 | recall0:0.4159  | recall1:0.4359 | recall2:0.4170
Epoch:34 | loss:0.12 | acc:0.4213 | prec0:0.4156 | prec1:0.4053 | prec2:0.4419 | recall0:0.4411  | recall1:0.3866 | recall2:0.4356
Epoch:35 | loss:0.40 | acc:0.4198 | prec0:0.4163 | prec1:0.4228 | prec2:0.4204 | recall0:0.3839  | recall1:0.3251 | recall2:0.5448
Epoch:36 | loss:0.15 | acc:0.4234 | prec0:0.4092 | prec1:0.4196 | prec2:0.4374 | recall0:0.3915  | recall1:0.3680 | recall2:0.5069
Epoch:37 | loss:0.10 | acc:0.4270 | prec0:0.4183 | prec1:0.4309 | prec2:0.4312 | recall0:0.4079  | recall1:0.3263 | recall2:0.5418
