Epoch: 0 | loss:1.05 | acc:0.4266 | prec0:0.6307 | prec1:0.3781 | prec2:0.5599 | recall0:0.0579  | recall1:0.8516 | recall2:0.3693
Epoch: 1 | loss:1.06 | acc:0.4562 | prec0:0.4014 | prec1:0.5747 | prec2:0.5368 | recall0:0.7632  | recall1:0.1786 | recall2:0.4301
Epoch: 2 | loss:0.85 | acc:0.4782 | prec0:0.6014 | prec1:0.4131 | prec2:0.6116 | recall0:0.2314  | recall1:0.8316 | recall2:0.3730
Epoch: 3 | loss:0.71 | acc:0.5285 | prec0:0.5893 | prec1:0.5107 | prec2:0.5167 | recall0:0.3468  | recall1:0.5514 | recall2:0.6812
Epoch: 4 | loss:0.55 | acc:0.5358 | prec0:0.4720 | prec1:0.6026 | prec2:0.5834 | recall0:0.6726  | recall1:0.4260 | recall2:0.5106
Epoch: 5 | loss:0.74 | acc:0.5483 | prec0:0.4980 | prec1:0.5762 | prec2:0.5973 | recall0:0.6646  | recall1:0.4596 | recall2:0.5223
Epoch: 6 | loss:0.49 | acc:0.5580 | prec0:0.5233 | prec1:0.5775 | prec2:0.5782 | recall0:0.5805  | recall1:0.5151 | recall2:0.5780
Epoch: 7 | loss:0.28 | acc:0.5747 | prec0:0.5991 | prec1:0.5350 | prec2:0.6020 | recall0:0.4994  | recall1:0.6382 | recall2:0.5857
Epoch: 8 | loss:0.25 | acc:0.5835 | prec0:0.5484 | prec1:0.5972 | prec2:0.6109 | recall0:0.6319  | recall1:0.5011 | recall2:0.6168
Epoch: 9 | loss:0.32 | acc:0.5800 | prec0:0.5983 | prec1:0.5842 | prec2:0.5641 | recall0:0.5223  | recall1:0.5332 | recall2:0.6808
Epoch:10 | loss:0.07 | acc:0.5821 | prec0:0.6241 | prec1:0.5314 | prec2:0.6126 | recall0:0.4968  | recall1:0.6624 | recall2:0.5864
Epoch:11 | loss:0.36 | acc:0.5814 | prec0:0.5854 | prec1:0.5449 | prec2:0.6232 | recall0:0.5284  | recall1:0.6443 | recall2:0.5714
Epoch:12 | loss:0.11 | acc:0.5974 | prec0:0.5738 | prec1:0.5782 | prec2:0.6495 | recall0:0.6216  | recall1:0.6186 | recall2:0.5534
Epoch:13 | loss:0.16 | acc:0.5954 | prec0:0.6204 | prec1:0.5686 | prec2:0.6042 | recall0:0.4827  | recall1:0.6261 | recall2:0.6739
Epoch:14 | loss:0.20 | acc:0.5954 | prec0:0.5595 | prec1:0.5798 | prec2:0.6570 | recall0:0.6388  | recall1:0.5706 | recall2:0.5776
Epoch:15 | loss:0.03 | acc:0.5984 | prec0:0.5703 | prec1:0.5906 | prec2:0.6393 | recall0:0.6129  | recall1:0.6095 | recall2:0.5736
