Epoch: 0 | loss:1.09 | acc:0.4093 | prec0:0.4082 | prec1:0.3819 | prec2:0.4303 | recall0:0.2200  | recall1:0.4092 | recall2:0.5975
Epoch: 1 | loss:0.90 | acc:0.4320 | prec0:0.4809 | prec1:0.3863 | prec2:0.4763 | recall0:0.1789  | recall1:0.5848 | recall2:0.5340
Epoch: 2 | loss:1.20 | acc:0.4239 | prec0:0.4832 | prec1:0.3840 | prec2:0.4681 | recall0:0.1778  | recall1:0.6390 | recall2:0.4579
Epoch: 3 | loss:1.17 | acc:0.4482 | prec0:0.4402 | prec1:0.4254 | prec2:0.4758 | recall0:0.4262  | recall1:0.4107 | recall2:0.5069
Epoch: 4 | loss:0.90 | acc:0.4666 | prec0:0.4556 | prec1:0.4402 | prec2:0.5002 | recall0:0.4557  | recall1:0.4160 | recall2:0.5269
Epoch: 5 | loss:0.95 | acc:0.4641 | prec0:0.4634 | prec1:0.4536 | prec2:0.4708 | recall0:0.4710  | recall1:0.3352 | recall2:0.5834
Epoch: 6 | loss:0.72 | acc:0.4672 | prec0:0.4966 | prec1:0.4437 | prec2:0.4701 | recall0:0.3504  | recall1:0.4664 | recall2:0.5841
Epoch: 7 | loss:0.75 | acc:0.4670 | prec0:0.5080 | prec1:0.4128 | prec2:0.5542 | recall0:0.3452  | recall1:0.6799 | recall2:0.3795
Epoch: 8 | loss:0.50 | acc:0.4876 | prec0:0.4585 | prec1:0.4843 | prec2:0.5260 | recall0:0.5383  | recall1:0.4198 | recall2:0.5035
Epoch: 9 | loss:0.72 | acc:0.5004 | prec0:0.5028 | prec1:0.4731 | prec2:0.5280 | recall0:0.4740  | recall1:0.5131 | recall2:0.5143
Epoch:10 | loss:0.71 | acc:0.4923 | prec0:0.5041 | prec1:0.4649 | prec2:0.5109 | recall0:0.4550  | recall1:0.5074 | recall2:0.5147
Epoch:11 | loss:0.53 | acc:0.4856 | prec0:0.4737 | prec1:0.4418 | prec2:0.5953 | recall0:0.5282  | recall1:0.5628 | recall2:0.3676
Epoch:12 | loss:0.44 | acc:0.4942 | prec0:0.5193 | prec1:0.4488 | prec2:0.5285 | recall0:0.4583  | recall1:0.5400 | recall2:0.4850
Epoch:13 | loss:0.63 | acc:0.5039 | prec0:0.4686 | prec1:0.5007 | prec2:0.5608 | recall0:0.6085  | recall1:0.4259 | recall2:0.4764
Epoch:14 | loss:0.21 | acc:0.4964 | prec0:0.5244 | prec1:0.4485 | prec2:0.5500 | recall0:0.4016  | recall1:0.6303 | recall2:0.4597
Epoch:15 | loss:0.13 | acc:0.5047 | prec0:0.5203 | prec1:0.4885 | prec2:0.5079 | recall0:0.4318  | recall1:0.5066 | recall2:0.5752
