Epoch: 0 | loss:1.09 | acc:0.4283 | prec0:0.4231 | prec1:0.4433 | prec2:0.4239 | recall0:0.2737  | recall1:0.3082 | recall2:0.7003
Epoch: 1 | loss:1.31 | acc:0.4477 | prec0:0.4369 | prec1:0.4184 | prec2:0.4931 | recall0:0.2578  | recall1:0.5743 | recall2:0.5073
Epoch: 2 | loss:0.90 | acc:0.4601 | prec0:0.4370 | prec1:0.4486 | prec2:0.4891 | recall0:0.4203  | recall1:0.4134 | recall2:0.5460
Epoch: 3 | loss:1.08 | acc:0.4702 | prec0:0.4483 | prec1:0.4565 | prec2:0.5057 | recall0:0.4233  | recall1:0.4881 | recall2:0.4983
Epoch: 4 | loss:0.69 | acc:0.4746 | prec0:0.4386 | prec1:0.4809 | prec2:0.5188 | recall0:0.5683  | recall1:0.3781 | recall2:0.4793
Epoch: 5 | loss:0.74 | acc:0.4858 | prec0:0.5093 | prec1:0.4393 | prec2:0.5434 | recall0:0.4062  | recall1:0.6112 | recall2:0.4383
Epoch: 6 | loss:0.74 | acc:0.4917 | prec0:0.4597 | prec1:0.4952 | prec2:0.5252 | recall0:0.5387  | recall1:0.4052 | recall2:0.5322
Epoch: 7 | loss:0.92 | acc:0.5039 | prec0:0.4915 | prec1:0.5023 | prec2:0.5166 | recall0:0.5300  | recall1:0.3981 | recall2:0.5844
Epoch: 8 | loss:0.36 | acc:0.5047 | prec0:0.4871 | prec1:0.4941 | prec2:0.5375 | recall0:0.5611  | recall1:0.4658 | recall2:0.4883
Epoch: 9 | loss:0.48 | acc:0.5097 | prec0:0.5106 | prec1:0.4758 | prec2:0.5573 | recall0:0.4776  | recall1:0.5777 | recall2:0.4730
Epoch:10 | loss:0.36 | acc:0.5255 | prec0:0.5191 | prec1:0.5236 | prec2:0.5330 | recall0:0.5209  | recall1:0.4784 | recall2:0.5773
Epoch:11 | loss:0.63 | acc:0.5224 | prec0:0.5193 | prec1:0.4901 | prec2:0.5673 | recall0:0.4692  | recall1:0.5788 | recall2:0.5181
Epoch:12 | loss:0.26 | acc:0.5299 | prec0:0.5335 | prec1:0.5085 | prec2:0.5477 | recall0:0.5228  | recall1:0.5100 | recall2:0.5568
Epoch:13 | loss:0.47 | acc:0.5307 | prec0:0.5317 | prec1:0.5195 | prec2:0.5403 | recall0:0.5129  | recall1:0.5112 | recall2:0.5676
Epoch:14 | loss:0.16 | acc:0.5297 | prec0:0.5394 | prec1:0.5159 | prec2:0.5344 | recall0:0.4833  | recall1:0.5178 | recall2:0.5870
Epoch:15 | loss:0.07 | acc:0.5373 | prec0:0.5298 | prec1:0.5390 | prec2:0.5431 | recall0:0.5638  | recall1:0.4569 | recall2:0.5919
Epoch:16 | loss:0.04 | acc:0.5305 | prec0:0.5136 | prec1:0.5233 | prec2:0.5563 | recall0:0.5680  | recall1:0.4833 | recall2:0.5412
Epoch:17 | loss:0.56 | acc:0.5278 | prec0:0.5566 | prec1:0.5162 | prec2:0.5182 | recall0:0.4518  | recall1:0.4981 | recall2:0.6321
Epoch:18 | loss:0.20 | acc:0.5315 | prec0:0.5588 | prec1:0.5005 | prec2:0.5467 | recall0:0.4275  | recall1:0.5870 | recall2:0.5781
Epoch:19 | loss:0.18 | acc:0.5369 | prec0:0.5309 | prec1:0.5170 | prec2:0.5636 | recall0:0.5543  | recall1:0.5100 | recall2:0.5468
Epoch:20 | loss:0.19 | acc:0.5327 | prec0:0.5035 | prec1:0.5366 | prec2:0.5646 | recall0:0.5938  | recall1:0.4710 | recall2:0.5345
Epoch:21 | loss:0.22 | acc:0.5372 | prec0:0.5109 | prec1:0.5307 | prec2:0.5730 | recall0:0.5315  | recall1:0.5461 | recall2:0.5337
Epoch:22 | loss:0.28 | acc:0.5338 | prec0:0.5171 | prec1:0.5311 | prec2:0.5521 | recall0:0.5277  | recall1:0.4948 | recall2:0.5788
Epoch:23 | loss:0.19 | acc:0.5339 | prec0:0.5270 | prec1:0.5445 | prec2:0.5320 | recall0:0.5376  | recall1:0.4665 | recall2:0.5978
Epoch:24 | loss:0.10 | acc:0.5479 | prec0:0.5457 | prec1:0.5561 | prec2:0.5433 | recall0:0.5395  | recall1:0.4922 | recall2:0.6120
Epoch:25 | loss:0.10 | acc:0.5324 | prec0:0.5368 | prec1:0.4997 | prec2:0.5681 | recall0:0.5239  | recall1:0.5569 | recall2:0.5162
Epoch:26 | loss:0.13 | acc:0.5384 | prec0:0.5297 | prec1:0.5391 | prec2:0.5456 | recall0:0.5178  | recall1:0.5178 | recall2:0.5792
