Epoch: 0 | loss:1.24 | acc:0.3743 | prec0:0.3604 | prec1:0.3614 | prec2:0.4139 | recall0:0.4140  | recall1:0.4031 | recall2:0.3076
Epoch: 1 | loss:1.24 | acc:0.3850 | prec0:0.3769 | prec1:0.3632 | prec2:0.4491 | recall0:0.4189  | recall1:0.4830 | recall2:0.2576
Epoch: 2 | loss:1.06 | acc:0.3818 | prec0:0.3893 | prec1:0.3677 | prec2:0.3899 | recall0:0.3016  | recall1:0.4024 | recall2:0.4406
Epoch: 3 | loss:1.17 | acc:0.3918 | prec0:0.4115 | prec1:0.3655 | prec2:0.4259 | recall0:0.3230  | recall1:0.5617 | recall2:0.2958
Epoch: 4 | loss:1.04 | acc:0.3972 | prec0:0.3861 | prec1:0.3964 | prec2:0.4136 | recall0:0.5234  | recall1:0.2851 | recall2:0.3811
Epoch: 5 | loss:0.62 | acc:0.3980 | prec0:0.3755 | prec1:0.3995 | prec2:0.4667 | recall0:0.6111  | recall1:0.3485 | recall2:0.2367
Epoch: 6 | loss:0.33 | acc:0.4043 | prec0:0.4009 | prec1:0.4006 | prec2:0.4094 | recall0:0.3758  | recall1:0.3428 | recall2:0.4914
Epoch: 7 | loss:0.54 | acc:0.4070 | prec0:0.4043 | prec1:0.3908 | prec2:0.4203 | recall0:0.3915  | recall1:0.3282 | recall2:0.4980
Epoch: 8 | loss:0.50 | acc:0.4055 | prec0:0.4026 | prec1:0.3910 | prec2:0.4210 | recall0:0.3417  | recall1:0.4096 | recall2:0.4642
Epoch: 9 | loss:0.65 | acc:0.4084 | prec0:0.4201 | prec1:0.4034 | prec2:0.4060 | recall0:0.2818  | recall1:0.3485 | recall2:0.5902
Epoch:10 | loss:0.37 | acc:0.4068 | prec0:0.4110 | prec1:0.3948 | prec2:0.4143 | recall0:0.3795  | recall1:0.4031 | recall2:0.4370
Epoch:11 | loss:0.83 | acc:0.4130 | prec0:0.4098 | prec1:0.3923 | prec2:0.4377 | recall0:0.4095  | recall1:0.4070 | recall2:0.4223
Epoch:12 | loss:0.37 | acc:0.4154 | prec0:0.4173 | prec1:0.3981 | prec2:0.4337 | recall0:0.3773  | recall1:0.4574 | recall2:0.4123
Epoch:13 | loss:0.44 | acc:0.4203 | prec0:0.4098 | prec1:0.4378 | prec2:0.4214 | recall0:0.4758  | recall1:0.2728 | recall2:0.5075
Epoch:14 | loss:0.23 | acc:0.4128 | prec0:0.4114 | prec1:0.3990 | prec2:0.4300 | recall0:0.4425  | recall1:0.4161 | recall2:0.3804
Epoch:15 | loss:0.09 | acc:0.4171 | prec0:0.4192 | prec1:0.4020 | prec2:0.4307 | recall0:0.3653  | recall1:0.4391 | recall2:0.4469
Epoch:16 | loss:0.23 | acc:0.4100 | prec0:0.4070 | prec1:0.3892 | prec2:0.4363 | recall0:0.3870  | recall1:0.4303 | recall2:0.4131
Epoch:17 | loss:0.22 | acc:0.4216 | prec0:0.4226 | prec1:0.4006 | prec2:0.4426 | recall0:0.3702  | recall1:0.4421 | recall2:0.4524
Epoch:18 | loss:0.21 | acc:0.4136 | prec0:0.4106 | prec1:0.4124 | prec2:0.4168 | recall0:0.3897  | recall1:0.3401 | recall2:0.5079
Epoch:19 | loss:0.25 | acc:0.4071 | prec0:0.4115 | prec1:0.3821 | prec2:0.4311 | recall0:0.3833  | recall1:0.4268 | recall2:0.4116
Epoch:20 | loss:0.17 | acc:0.4210 | prec0:0.4204 | prec1:0.4011 | prec2:0.4389 | recall0:0.4204  | recall1:0.3794 | recall2:0.4616
Epoch:21 | loss:0.02 | acc:0.4209 | prec0:0.4327 | prec1:0.3945 | prec2:0.4439 | recall0:0.3454  | recall1:0.4895 | recall2:0.4289
