Epoch: 0 | loss:1.01 | acc:0.4029 | prec0:0.4125 | prec1:0.3845 | prec2:0.4122 | recall0:0.3281  | recall1:0.3953 | recall2:0.4872
Epoch: 1 | loss:1.03 | acc:0.4822 | prec0:0.4791 | prec1:0.4380 | prec2:0.5383 | recall0:0.5169  | recall1:0.4569 | recall2:0.4717
Epoch: 2 | loss:1.07 | acc:0.4912 | prec0:0.4585 | prec1:0.4939 | prec2:0.5372 | recall0:0.5760  | recall1:0.4299 | recall2:0.4650
Epoch: 3 | loss:1.07 | acc:0.5179 | prec0:0.5313 | prec1:0.4800 | prec2:0.5505 | recall0:0.4827  | recall1:0.5530 | recall2:0.5192
Epoch: 4 | loss:0.77 | acc:0.5382 | prec0:0.5621 | prec1:0.5017 | prec2:0.5575 | recall0:0.4952  | recall1:0.5671 | recall2:0.5535
Epoch: 5 | loss:0.87 | acc:0.5446 | prec0:0.5614 | prec1:0.5142 | prec2:0.5576 | recall0:0.5309  | recall1:0.5101 | recall2:0.5931
Epoch: 6 | loss:0.93 | acc:0.5521 | prec0:0.5500 | prec1:0.5374 | prec2:0.5663 | recall0:0.5760  | recall1:0.4721 | recall2:0.6070
Epoch: 7 | loss:0.60 | acc:0.5591 | prec0:0.6106 | prec1:0.5721 | prec2:0.5236 | recall0:0.4592  | recall1:0.4762 | recall2:0.7438
Epoch: 8 | loss:0.54 | acc:0.5543 | prec0:0.4989 | prec1:0.6258 | prec2:0.6003 | recall0:0.7329  | recall1:0.3451 | recall2:0.5784
Epoch: 9 | loss:0.24 | acc:0.5810 | prec0:0.6022 | prec1:0.5370 | prec2:0.6094 | recall0:0.5584  | recall1:0.5903 | recall2:0.5950
Epoch:10 | loss:0.63 | acc:0.5732 | prec0:0.6371 | prec1:0.5781 | prec2:0.5358 | recall0:0.4464  | recall1:0.5542 | recall2:0.7223
Epoch:11 | loss:0.25 | acc:0.5916 | prec0:0.6507 | prec1:0.5280 | prec2:0.6228 | recall0:0.5290  | recall1:0.6594 | recall2:0.5885
Epoch:12 | loss:0.31 | acc:0.5789 | prec0:0.5671 | prec1:0.5355 | prec2:0.6569 | recall0:0.5716  | recall1:0.6340 | recall2:0.5317
Epoch:13 | loss:0.46 | acc:0.5962 | prec0:0.6395 | prec1:0.5746 | prec2:0.5843 | recall0:0.5220  | recall1:0.6135 | recall2:0.6552
Epoch:14 | loss:0.13 | acc:0.5981 | prec0:0.5664 | prec1:0.5782 | prec2:0.6676 | recall0:0.6921  | recall1:0.5409 | recall2:0.5584
Epoch:15 | loss:0.45 | acc:0.5981 | prec0:0.6082 | prec1:0.5620 | prec2:0.6299 | recall0:0.5970  | recall1:0.6184 | recall2:0.5791
Epoch:16 | loss:0.40 | acc:0.5986 | prec0:0.6033 | prec1:0.5879 | prec2:0.6043 | recall0:0.5849  | recall1:0.5823 | recall2:0.6289
Epoch:17 | loss:0.55 | acc:0.6053 | prec0:0.5916 | prec1:0.5785 | prec2:0.6539 | recall0:0.6168  | recall1:0.6188 | recall2:0.5803
Epoch:18 | loss:0.16 | acc:0.6083 | prec0:0.5695 | prec1:0.6041 | prec2:0.6658 | recall0:0.6774  | recall1:0.5515 | recall2:0.5938
Epoch:19 | loss:0.29 | acc:0.6138 | prec0:0.6143 | prec1:0.5797 | prec2:0.6538 | recall0:0.6161  | recall1:0.6306 | recall2:0.5950
Epoch:20 | loss:0.22 | acc:0.6091 | prec0:0.5964 | prec1:0.6075 | prec2:0.6247 | recall0:0.6433  | recall1:0.5618 | recall2:0.6209
Epoch:21 | loss:0.19 | acc:0.6056 | prec0:0.5714 | prec1:0.5895 | prec2:0.6731 | recall0:0.6631  | recall1:0.5872 | recall2:0.5648
Epoch:22 | loss:0.03 | acc:0.6017 | prec0:0.6209 | prec1:0.5578 | prec2:0.6363 | recall0:0.5621  | recall1:0.6454 | recall2:0.5991
Epoch:23 | loss:0.30 | acc:0.6106 | prec0:0.6145 | prec1:0.6101 | prec2:0.6073 | recall0:0.6132  | recall1:0.5633 | recall2:0.6549
Epoch:24 | loss:0.54 | acc:0.6053 | prec0:0.6029 | prec1:0.5941 | prec2:0.6188 | recall0:0.6157  | recall1:0.5785 | recall2:0.6213
Epoch:25 | loss:0.33 | acc:0.6097 | prec0:0.6269 | prec1:0.5739 | prec2:0.6323 | recall0:0.5933  | recall1:0.6241 | recall2:0.6123
Epoch:26 | loss:0.11 | acc:0.6167 | prec0:0.6099 | prec1:0.5977 | prec2:0.6437 | recall0:0.6198  | recall1:0.6059 | recall2:0.6243
Epoch:27 | loss:0.09 | acc:0.6227 | prec0:0.6225 | prec1:0.6066 | prec2:0.6382 | recall0:0.6367  | recall1:0.5842 | recall2:0.6466
Epoch:28 | loss:0.26 | acc:0.6102 | prec0:0.6107 | prec1:0.5910 | prec2:0.6297 | recall0:0.6062  | recall1:0.6070 | recall2:0.6176
Epoch:29 | loss:0.04 | acc:0.6227 | prec0:0.6466 | prec1:0.6039 | prec2:0.6198 | recall0:0.5808  | recall1:0.6078 | recall2:0.6805
Epoch:30 | loss:0.41 | acc:0.6120 | prec0:0.6381 | prec1:0.5726 | prec2:0.6309 | recall0:0.5746  | recall1:0.6325 | recall2:0.6300
Epoch:31 | loss:0.02 | acc:0.6210 | prec0:0.6228 | prec1:0.5859 | prec2:0.6591 | recall0:0.6249  | recall1:0.6275 | recall2:0.6104
Epoch:32 | loss:0.55 | acc:0.6113 | prec0:0.5892 | prec1:0.6159 | prec2:0.6321 | recall0:0.6455  | recall1:0.5553 | recall2:0.6319
Epoch:33 | loss:0.11 | acc:0.6263 | prec0:0.6172 | prec1:0.6169 | prec2:0.6453 | recall0:0.6367  | recall1:0.6036 | recall2:0.6383
Epoch:34 | loss:0.14 | acc:0.6258 | prec0:0.6351 | prec1:0.6072 | prec2:0.6353 | recall0:0.5896  | recall1:0.6192 | recall2:0.6696
Epoch:35 | loss:0.10 | acc:0.6242 | prec0:0.6161 | prec1:0.6207 | prec2:0.6358 | recall0:0.6455  | recall1:0.5716 | recall2:0.6545
Epoch:36 | loss:0.19 | acc:0.6277 | prec0:0.6318 | prec1:0.5986 | prec2:0.6544 | recall0:0.6242  | recall1:0.6241 | recall2:0.6349
Epoch:37 | loss:0.04 | acc:0.6222 | prec0:0.6513 | prec1:0.6285 | prec2:0.5955 | recall0:0.5874  | recall1:0.5568 | recall2:0.7227
Epoch:38 | loss:0.23 | acc:0.6132 | prec0:0.6026 | prec1:0.5798 | prec2:0.6690 | recall0:0.6389  | recall1:0.6298 | recall2:0.5705
Epoch:39 | loss:0.16 | acc:0.6292 | prec0:0.6439 | prec1:0.5953 | prec2:0.6523 | recall0:0.6058  | recall1:0.6492 | recall2:0.6334
Epoch:40 | loss:0.06 | acc:0.6202 | prec0:0.5907 | prec1:0.6254 | prec2:0.6523 | recall0:0.6841  | recall1:0.5564 | recall2:0.6179
Epoch:41 | loss:0.45 | acc:0.6232 | prec0:0.6189 | prec1:0.6025 | prec2:0.6489 | recall0:0.6598  | recall1:0.5853 | recall2:0.6232
Epoch:42 | loss:0.01 | acc:0.6393 | prec0:0.6399 | prec1:0.6412 | prec2:0.6372 | recall0:0.6370  | recall1:0.5929 | recall2:0.6876
Epoch:43 | loss:0.25 | acc:0.6213 | prec0:0.6476 | prec1:0.5904 | prec2:0.6294 | recall0:0.5794  | recall1:0.6268 | recall2:0.6590
Epoch:44 | loss:0.02 | acc:0.6241 | prec0:0.6364 | prec1:0.5800 | prec2:0.6646 | recall0:0.6051  | recall1:0.6556 | recall2:0.6123
Epoch:45 | loss:0.15 | acc:0.6303 | prec0:0.6089 | prec1:0.6130 | prec2:0.6762 | recall0:0.6664  | recall1:0.6154 | recall2:0.6081
Epoch:46 | loss:0.16 | acc:0.6282 | prec0:0.6139 | prec1:0.6244 | prec2:0.6483 | recall0:0.6543  | recall1:0.6059 | recall2:0.6236
Epoch:47 | loss:0.10 | acc:0.6175 | prec0:0.6579 | prec1:0.5624 | prec2:0.6472 | recall0:0.5871  | recall1:0.6659 | recall2:0.6006
Epoch:48 | loss:0.26 | acc:0.6260 | prec0:0.6012 | prec1:0.6292 | prec2:0.6527 | recall0:0.6819  | recall1:0.5618 | recall2:0.6323
