Epoch: 0 | loss:1.01 | acc:0.4176 | prec0:0.4716 | prec1:0.3692 | prec2:0.6162 | recall0:0.2851  | recall1:0.7646 | recall2:0.2069
Epoch: 1 | loss:1.12 | acc:0.5013 | prec0:0.4908 | prec1:0.4640 | prec2:0.5632 | recall0:0.4749  | recall1:0.5412 | recall2:0.4885
Epoch: 2 | loss:0.89 | acc:0.5213 | prec0:0.4696 | prec1:0.6149 | prec2:0.5620 | recall0:0.7352  | recall1:0.2902 | recall2:0.5334
Epoch: 3 | loss:0.76 | acc:0.5141 | prec0:0.4978 | prec1:0.4684 | prec2:0.7426 | recall0:0.6606  | recall1:0.6134 | recall2:0.2654
Epoch: 4 | loss:0.62 | acc:0.5541 | prec0:0.6322 | prec1:0.5943 | prec2:0.5008 | recall0:0.3929  | recall1:0.4943 | recall2:0.7784
Epoch: 5 | loss:0.56 | acc:0.5549 | prec0:0.6011 | prec1:0.4818 | prec2:0.7155 | recall0:0.5070  | recall1:0.7982 | recall2:0.3611
Epoch: 6 | loss:0.57 | acc:0.6057 | prec0:0.5869 | prec1:0.5762 | prec2:0.6700 | recall0:0.6473  | recall1:0.6187 | recall2:0.5503
Epoch: 7 | loss:0.77 | acc:0.6038 | prec0:0.5952 | prec1:0.5773 | prec2:0.6448 | recall0:0.6185  | recall1:0.6085 | recall2:0.5842
Epoch: 8 | loss:0.62 | acc:0.6123 | prec0:0.6358 | prec1:0.6359 | prec2:0.5797 | recall0:0.5886  | recall1:0.5163 | recall2:0.7324
Epoch: 9 | loss:0.40 | acc:0.6146 | prec0:0.6366 | prec1:0.5803 | prec2:0.6339 | recall0:0.5524  | recall1:0.6584 | recall2:0.6344
Epoch:10 | loss:0.20 | acc:0.6088 | prec0:0.6276 | prec1:0.6090 | prec2:0.5928 | recall0:0.5875  | recall1:0.5722 | recall2:0.6672
Epoch:11 | loss:0.41 | acc:0.6040 | prec0:0.6592 | prec1:0.5886 | prec2:0.5827 | recall0:0.4878  | recall1:0.6391 | recall2:0.6875
