Epoch: 0 | loss:1.11 | acc:0.4610 | prec0:0.4233 | prec1:0.5285 | prec2:0.4909 | recall0:0.6361  | recall1:0.1611 | recall2:0.5829
Epoch: 1 | loss:1.08 | acc:0.4491 | prec0:0.4170 | prec1:0.4729 | prec2:0.4954 | recall0:0.6628  | recall1:0.3091 | recall2:0.3760
Epoch: 2 | loss:1.02 | acc:0.4554 | prec0:0.4876 | prec1:0.4065 | prec2:0.6603 | recall0:0.3402  | recall1:0.7981 | recall2:0.2321
Epoch: 3 | loss:0.89 | acc:0.4517 | prec0:0.6930 | prec1:0.5556 | prec2:0.4092 | recall0:0.1086  | recall1:0.3185 | recall2:0.9210
Epoch: 4 | loss:0.85 | acc:0.5304 | prec0:0.5952 | prec1:0.5423 | prec2:0.4952 | recall0:0.3853  | recall1:0.4770 | recall2:0.7260
Epoch: 5 | loss:0.69 | acc:0.4617 | prec0:0.5474 | prec1:0.4038 | prec2:0.7684 | recall0:0.3602  | recall1:0.8645 | recall2:0.1661
Epoch: 6 | loss:0.43 | acc:0.5737 | prec0:0.6566 | prec1:0.5209 | prec2:0.5850 | recall0:0.4169  | recall1:0.6479 | recall2:0.6555
Epoch: 7 | loss:0.38 | acc:0.5598 | prec0:0.6020 | prec1:0.6298 | prec2:0.5094 | recall0:0.4805  | recall1:0.4083 | recall2:0.7868
Epoch: 8 | loss:0.48 | acc:0.5640 | prec0:0.6838 | prec1:0.5411 | prec2:0.5405 | recall0:0.3342  | recall1:0.6230 | recall2:0.7327
Epoch: 9 | loss:0.30 | acc:0.5827 | prec0:0.5506 | prec1:0.5516 | prec2:0.6778 | recall0:0.6278  | recall1:0.6192 | recall2:0.5024
Epoch:10 | loss:0.12 | acc:0.5870 | prec0:0.5656 | prec1:0.5499 | prec2:0.6633 | recall0:0.6301  | recall1:0.5887 | recall2:0.5428
Epoch:11 | loss:0.45 | acc:0.5875 | prec0:0.6092 | prec1:0.5809 | prec2:0.5767 | recall0:0.5357  | recall1:0.5336 | recall2:0.6915
Epoch:12 | loss:0.20 | acc:0.5965 | prec0:0.5777 | prec1:0.6132 | prec2:0.6033 | recall0:0.6402  | recall1:0.4894 | recall2:0.6585
Epoch:13 | loss:0.25 | acc:0.5974 | prec0:0.5701 | prec1:0.5628 | prec2:0.6849 | recall0:0.6421  | recall1:0.6208 | recall2:0.5302
Epoch:14 | loss:0.12 | acc:0.5940 | prec0:0.6011 | prec1:0.5379 | prec2:0.6643 | recall0:0.5688  | recall1:0.6487 | recall2:0.5651
Epoch:15 | loss:0.28 | acc:0.5987 | prec0:0.5917 | prec1:0.5720 | prec2:0.6360 | recall0:0.6150  | recall1:0.5936 | recall2:0.5877
Epoch:16 | loss:0.10 | acc:0.5997 | prec0:0.5938 | prec1:0.5578 | prec2:0.6634 | recall0:0.6068  | recall1:0.6392 | recall2:0.5539
Epoch:17 | loss:0.05 | acc:0.6048 | prec0:0.6198 | prec1:0.5828 | prec2:0.6134 | recall0:0.5639  | recall1:0.6053 | recall2:0.6448
Epoch:18 | loss:0.24 | acc:0.6110 | prec0:0.6388 | prec1:0.5798 | prec2:0.6198 | recall0:0.5538  | recall1:0.6275 | recall2:0.6511
Epoch:19 | loss:0.31 | acc:0.6021 | prec0:0.6566 | prec1:0.5565 | prec2:0.6138 | recall0:0.4895  | recall1:0.6543 | recall2:0.6618
Epoch:20 | loss:0.10 | acc:0.6077 | prec0:0.5679 | prec1:0.6085 | prec2:0.6555 | recall0:0.6571  | recall1:0.5513 | recall2:0.6144
Epoch:21 | loss:0.17 | acc:0.6063 | prec0:0.5937 | prec1:0.6236 | prec2:0.6052 | recall0:0.6158  | recall1:0.5245 | recall2:0.6774
Epoch:22 | loss:0.03 | acc:0.6081 | prec0:0.6341 | prec1:0.5591 | prec2:0.6462 | recall0:0.5628  | recall1:0.6694 | recall2:0.5925
Epoch:23 | loss:0.14 | acc:0.6036 | prec0:0.6054 | prec1:0.5536 | prec2:0.6731 | recall0:0.5917  | recall1:0.6649 | recall2:0.5551
