Epoch: 0 | loss:0.93 | acc:0.4094 | prec0:0.3871 | prec1:0.3795 | prec2:0.4752 | recall0:0.2648  | recall1:0.5443 | recall2:0.4140
Epoch: 1 | loss:1.00 | acc:0.4295 | prec0:0.4007 | prec1:0.4148 | prec2:0.4763 | recall0:0.4946  | recall1:0.3295 | recall2:0.4664
Epoch: 2 | loss:1.06 | acc:0.4402 | prec0:0.4432 | prec1:0.4401 | prec2:0.4388 | recall0:0.3374  | recall1:0.3391 | recall2:0.6395
Epoch: 3 | loss:1.21 | acc:0.4500 | prec0:0.4219 | prec1:0.4506 | prec2:0.4733 | recall0:0.4035  | recall1:0.4319 | recall2:0.5125
Epoch: 4 | loss:1.01 | acc:0.4464 | prec0:0.4016 | prec1:0.4765 | prec2:0.4910 | recall0:0.5730  | recall1:0.3087 | recall2:0.4616
Epoch: 5 | loss:0.52 | acc:0.4726 | prec0:0.4419 | prec1:0.4855 | prec2:0.4982 | recall0:0.5419  | recall1:0.3596 | recall2:0.5185
Epoch: 6 | loss:0.72 | acc:0.4802 | prec0:0.4633 | prec1:0.4626 | prec2:0.5191 | recall0:0.4869  | recall1:0.4824 | recall2:0.4716
Epoch: 7 | loss:0.85 | acc:0.4687 | prec0:0.4461 | prec1:0.4616 | prec2:0.5074 | recall0:0.4927  | recall1:0.4998 | recall2:0.4148
Epoch: 8 | loss:0.92 | acc:0.4781 | prec0:0.4732 | prec1:0.4687 | prec2:0.4913 | recall0:0.3770  | recall1:0.5247 | recall2:0.5288
Epoch: 9 | loss:0.75 | acc:0.4850 | prec0:0.4817 | prec1:0.4635 | prec2:0.5182 | recall0:0.4347  | recall1:0.5673 | recall2:0.4513
Epoch:10 | loss:0.43 | acc:0.4912 | prec0:0.4727 | prec1:0.4670 | prec2:0.5612 | recall0:0.5154  | recall1:0.5688 | recall2:0.3908
Epoch:11 | loss:0.39 | acc:0.4902 | prec0:0.4655 | prec1:0.4842 | prec2:0.5194 | recall0:0.4946  | recall1:0.4323 | recall2:0.5435
Epoch:12 | loss:0.73 | acc:0.4973 | prec0:0.4938 | prec1:0.4867 | prec2:0.5102 | recall0:0.4566  | recall1:0.4891 | recall2:0.5446
Epoch:13 | loss:0.23 | acc:0.5026 | prec0:0.5095 | prec1:0.4818 | prec2:0.5210 | recall0:0.3897  | recall1:0.5699 | recall2:0.5439
Epoch:14 | loss:0.48 | acc:0.5066 | prec0:0.4849 | prec1:0.4898 | prec2:0.5544 | recall0:0.5169  | recall1:0.5354 | recall2:0.4679
Epoch:15 | loss:0.34 | acc:0.5024 | prec0:0.4634 | prec1:0.5012 | prec2:0.5567 | recall0:0.5592  | recall1:0.4738 | recall2:0.4764
Epoch:16 | loss:0.80 | acc:0.5048 | prec0:0.4826 | prec1:0.4914 | prec2:0.5480 | recall0:0.4954  | recall1:0.5514 | recall2:0.4675
Epoch:17 | loss:0.25 | acc:0.5019 | prec0:0.4589 | prec1:0.5312 | prec2:0.5307 | recall0:0.5680  | recall1:0.4037 | recall2:0.5362
Epoch:18 | loss:0.40 | acc:0.5054 | prec0:0.5280 | prec1:0.4865 | prec2:0.5073 | recall0:0.4135  | recall1:0.4957 | recall2:0.6033
Epoch:19 | loss:0.18 | acc:0.5027 | prec0:0.4678 | prec1:0.5277 | prec2:0.5173 | recall0:0.5115  | recall1:0.4490 | recall2:0.5476
Epoch:20 | loss:0.38 | acc:0.5117 | prec0:0.4938 | prec1:0.5225 | prec2:0.5186 | recall0:0.5012  | recall1:0.5046 | recall2:0.5288
Epoch:21 | loss:0.29 | acc:0.5242 | prec0:0.5113 | prec1:0.5141 | prec2:0.5476 | recall0:0.5138  | recall1:0.5276 | recall2:0.5306
Epoch:22 | loss:0.18 | acc:0.5240 | prec0:0.4996 | prec1:0.5362 | prec2:0.5369 | recall0:0.5227  | recall1:0.4779 | recall2:0.5712
Epoch:23 | loss:0.03 | acc:0.5106 | prec0:0.4998 | prec1:0.4890 | prec2:0.5499 | recall0:0.4739  | recall1:0.5703 | recall2:0.4863
Epoch:24 | loss:0.27 | acc:0.5162 | prec0:0.4830 | prec1:0.5156 | prec2:0.5561 | recall0:0.5611  | recall1:0.4657 | recall2:0.5232
Epoch:25 | loss:0.17 | acc:0.5179 | prec0:0.5088 | prec1:0.5148 | prec2:0.5284 | recall0:0.4646  | recall1:0.5239 | recall2:0.5631
Epoch:26 | loss:0.08 | acc:0.5168 | prec0:0.4969 | prec1:0.5420 | prec2:0.5177 | recall0:0.5304  | recall1:0.4167 | recall2:0.6033
Epoch:27 | loss:0.10 | acc:0.5128 | prec0:0.4887 | prec1:0.5056 | prec2:0.5460 | recall0:0.5081  | recall1:0.5154 | recall2:0.5148
Epoch:28 | loss:0.18 | acc:0.5178 | prec0:0.5077 | prec1:0.5066 | prec2:0.5407 | recall0:0.5038  | recall1:0.5417 | recall2:0.5074
Epoch:29 | loss:0.26 | acc:0.5190 | prec0:0.5364 | prec1:0.5019 | prec2:0.5227 | recall0:0.4531  | recall1:0.5317 | recall2:0.5697
Epoch:30 | loss:0.03 | acc:0.5192 | prec0:0.4952 | prec1:0.5115 | prec2:0.5561 | recall0:0.5527  | recall1:0.5050 | recall2:0.5011
Epoch:31 | loss:0.07 | acc:0.5195 | prec0:0.4929 | prec1:0.5160 | prec2:0.5514 | recall0:0.5211  | recall1:0.5095 | recall2:0.5280
Epoch:32 | loss:0.05 | acc:0.5185 | prec0:0.4905 | prec1:0.5298 | prec2:0.5376 | recall0:0.5257  | recall1:0.5373 | recall2:0.4930
Epoch:33 | loss:0.34 | acc:0.5259 | prec0:0.5297 | prec1:0.5088 | prec2:0.5405 | recall0:0.4727  | recall1:0.5462 | recall2:0.5568
