Epoch: 0 | loss:1.31 | acc:0.4099 | prec0:0.3853 | prec1:0.3947 | prec2:0.4439 | recall0:0.5270  | recall1:0.1862 | recall2:0.5141
Epoch: 1 | loss:1.07 | acc:0.4226 | prec0:0.3829 | prec1:0.4610 | prec2:0.4680 | recall0:0.6096  | recall1:0.1809 | recall2:0.4771
Epoch: 2 | loss:0.95 | acc:0.4406 | prec0:0.4141 | prec1:0.4493 | prec2:0.4656 | recall0:0.5308  | recall1:0.2761 | recall2:0.5134
Epoch: 3 | loss:0.83 | acc:0.4562 | prec0:0.4786 | prec1:0.4415 | prec2:0.4565 | recall0:0.3071  | recall1:0.4388 | recall2:0.6166
Epoch: 4 | loss:0.90 | acc:0.4721 | prec0:0.4653 | prec1:0.4639 | prec2:0.4839 | recall0:0.4619  | recall1:0.4022 | recall2:0.5496
Epoch: 5 | loss:0.84 | acc:0.4820 | prec0:0.4531 | prec1:0.4828 | prec2:0.5145 | recall0:0.5582  | recall1:0.3546 | recall2:0.5320
Epoch: 6 | loss:0.86 | acc:0.4846 | prec0:0.4681 | prec1:0.4847 | prec2:0.5002 | recall0:0.4878  | recall1:0.4354 | recall2:0.5291
Epoch: 7 | loss:0.68 | acc:0.4808 | prec0:0.5017 | prec1:0.4646 | prec2:0.4808 | recall0:0.3904  | recall1:0.4581 | recall2:0.5899
Epoch: 8 | loss:0.49 | acc:0.4788 | prec0:0.4436 | prec1:0.4650 | prec2:0.5485 | recall0:0.5255  | recall1:0.4864 | recall2:0.4266
Epoch: 9 | loss:0.39 | acc:0.4994 | prec0:0.4674 | prec1:0.5000 | prec2:0.5373 | recall0:0.5518  | recall1:0.4373 | recall2:0.5093
Epoch:10 | loss:0.55 | acc:0.4858 | prec0:0.4501 | prec1:0.4797 | prec2:0.5477 | recall0:0.5403  | recall1:0.4989 | recall2:0.4207
Epoch:11 | loss:0.68 | acc:0.5074 | prec0:0.4907 | prec1:0.4971 | prec2:0.5346 | recall0:0.5145  | recall1:0.4838 | recall2:0.5236
Epoch:12 | loss:0.27 | acc:0.5053 | prec0:0.4929 | prec1:0.4840 | prec2:0.5394 | recall0:0.5148  | recall1:0.4796 | recall2:0.5211
Epoch:13 | loss:0.33 | acc:0.5147 | prec0:0.5159 | prec1:0.4838 | prec2:0.5470 | recall0:0.4768  | recall1:0.5295 | recall2:0.5368
Epoch:14 | loss:0.43 | acc:0.5118 | prec0:0.4936 | prec1:0.4748 | prec2:0.5924 | recall0:0.5312  | recall1:0.5578 | recall2:0.4486
Epoch:15 | loss:0.28 | acc:0.5197 | prec0:0.4882 | prec1:0.5232 | prec2:0.5541 | recall0:0.5734  | recall1:0.4607 | recall2:0.5251
Epoch:16 | loss:0.45 | acc:0.5185 | prec0:0.4828 | prec1:0.5388 | prec2:0.5403 | recall0:0.5460  | recall1:0.4664 | recall2:0.5427
Epoch:17 | loss:0.10 | acc:0.5195 | prec0:0.4824 | prec1:0.5128 | prec2:0.5778 | recall0:0.5738  | recall1:0.5011 | recall2:0.4852
Epoch:18 | loss:0.14 | acc:0.5293 | prec0:0.5343 | prec1:0.5086 | prec2:0.5448 | recall0:0.4775  | recall1:0.5276 | recall2:0.5807
Epoch:19 | loss:0.12 | acc:0.5223 | prec0:0.4876 | prec1:0.5427 | prec2:0.5474 | recall0:0.5932  | recall1:0.4343 | recall2:0.5394
Epoch:20 | loss:0.21 | acc:0.5160 | prec0:0.5211 | prec1:0.4776 | prec2:0.5725 | recall0:0.4517  | recall1:0.6363 | recall2:0.4614
Epoch:21 | loss:0.11 | acc:0.5304 | prec0:0.5490 | prec1:0.5178 | prec2:0.5288 | recall0:0.4498  | recall1:0.5431 | recall2:0.5958
