Epoch: 0 | loss:1.00 | acc:0.4175 | prec0:0.4151 | prec1:0.3891 | prec2:0.4399 | recall0:0.3864  | recall1:0.3402 | recall2:0.5251
Epoch: 1 | loss:1.02 | acc:0.4173 | prec0:0.4547 | prec1:0.3783 | prec2:0.4506 | recall0:0.2195  | recall1:0.5445 | recall2:0.4940
Epoch: 2 | loss:1.22 | acc:0.4283 | prec0:0.4443 | prec1:0.4274 | prec2:0.4207 | recall0:0.3430  | recall1:0.2677 | recall2:0.6728
Epoch: 3 | loss:1.17 | acc:0.4484 | prec0:0.4741 | prec1:0.4183 | prec2:0.4604 | recall0:0.3261  | recall1:0.4620 | recall2:0.5596
Epoch: 4 | loss:0.88 | acc:0.4439 | prec0:0.4432 | prec1:0.4540 | prec2:0.4386 | recall0:0.3688  | recall1:0.3559 | recall2:0.6068
Epoch: 5 | loss:0.83 | acc:0.4591 | prec0:0.4373 | prec1:0.4504 | prec2:0.4987 | recall0:0.5540  | recall1:0.3765 | recall2:0.4434
Epoch: 6 | loss:0.89 | acc:0.4672 | prec0:0.4902 | prec1:0.4420 | prec2:0.4714 | recall0:0.4140  | recall1:0.4410 | recall2:0.5472
Epoch: 7 | loss:0.87 | acc:0.4717 | prec0:0.4624 | prec1:0.4932 | prec2:0.4693 | recall0:0.5129  | recall1:0.3169 | recall2:0.5817
Epoch: 8 | loss:0.76 | acc:0.4690 | prec0:0.4378 | prec1:0.5007 | prec2:0.4937 | recall0:0.6000  | recall1:0.2875 | recall2:0.5135
Epoch: 9 | loss:0.78 | acc:0.4807 | prec0:0.4771 | prec1:0.4707 | prec2:0.4945 | recall0:0.4746  | recall1:0.4777 | recall2:0.4899
Epoch:10 | loss:0.74 | acc:0.4743 | prec0:0.4773 | prec1:0.4546 | prec2:0.4913 | recall0:0.4364  | recall1:0.4780 | recall2:0.5094
Epoch:11 | loss:0.65 | acc:0.4989 | prec0:0.4901 | prec1:0.4733 | prec2:0.5395 | recall0:0.5467  | recall1:0.4777 | recall2:0.4711
Epoch:12 | loss:0.95 | acc:0.4932 | prec0:0.5049 | prec1:0.4516 | prec2:0.5347 | recall0:0.4555  | recall1:0.5376 | recall2:0.4880
Epoch:13 | loss:0.34 | acc:0.4840 | prec0:0.4960 | prec1:0.4518 | prec2:0.5071 | recall0:0.4526  | recall1:0.4922 | recall2:0.5079
