Epoch: 0 | loss:1.12 | acc:0.4079 | prec0:0.4220 | prec1:0.3597 | prec2:0.5042 | recall0:0.1992  | recall1:0.6334 | recall2:0.3993
Epoch: 1 | loss:1.07 | acc:0.4048 | prec0:0.3677 | prec1:0.4613 | prec2:0.5669 | recall0:0.8597  | recall1:0.0547 | recall2:0.2852
Epoch: 2 | loss:1.03 | acc:0.4472 | prec0:0.4573 | prec1:0.3884 | prec2:0.5223 | recall0:0.3527  | recall1:0.5157 | recall2:0.4763
Epoch: 3 | loss:0.98 | acc:0.4549 | prec0:0.4084 | prec1:0.4519 | prec2:0.5579 | recall0:0.6594  | recall1:0.2764 | recall2:0.4217
Epoch: 4 | loss:1.41 | acc:0.4732 | prec0:0.4376 | prec1:0.4771 | prec2:0.5116 | recall0:0.5515  | recall1:0.2863 | recall2:0.5764
Epoch: 5 | loss:1.07 | acc:0.4803 | prec0:0.5750 | prec1:0.4515 | prec2:0.4754 | recall0:0.2301  | recall1:0.4969 | recall2:0.7181
Epoch: 6 | loss:1.03 | acc:0.4968 | prec0:0.5194 | prec1:0.4708 | prec2:0.5082 | recall0:0.3354  | recall1:0.5329 | recall2:0.6254
Epoch: 7 | loss:0.95 | acc:0.4954 | prec0:0.5213 | prec1:0.4357 | prec2:0.5723 | recall0:0.4183  | recall1:0.6147 | recall2:0.4572
Epoch: 8 | loss:0.88 | acc:0.5086 | prec0:0.5067 | prec1:0.4516 | prec2:0.6224 | recall0:0.4853  | recall1:0.6174 | recall2:0.4258
Epoch: 9 | loss:1.13 | acc:0.5097 | prec0:0.5332 | prec1:0.4608 | prec2:0.5562 | recall0:0.4698  | recall1:0.5864 | recall2:0.4751
Epoch:10 | loss:1.06 | acc:0.5152 | prec0:0.5400 | prec1:0.4687 | prec2:0.5496 | recall0:0.4370  | recall1:0.5642 | recall2:0.5465
Epoch:11 | loss:1.02 | acc:0.5324 | prec0:0.5294 | prec1:0.4968 | prec2:0.5800 | recall0:0.5166  | recall1:0.5638 | recall2:0.5178
