Epoch: 0 | loss:1.81 | acc:0.4179 | prec0:0.4226 | prec1:0.3868 | prec2:0.4453 | recall0:0.2711  | recall1:0.4539 | recall2:0.5310
Epoch: 1 | loss:1.21 | acc:0.4477 | prec0:0.4347 | prec1:0.4325 | prec2:0.4714 | recall0:0.4241  | recall1:0.3918 | recall2:0.5265
Epoch: 2 | loss:0.81 | acc:0.4751 | prec0:0.4433 | prec1:0.4906 | prec2:0.5077 | recall0:0.5837  | recall1:0.3464 | recall2:0.4914
Epoch: 3 | loss:1.33 | acc:0.4861 | prec0:0.5167 | prec1:0.4600 | prec2:0.4940 | recall0:0.3310  | recall1:0.5309 | recall2:0.5990
Epoch: 4 | loss:0.77 | acc:0.5073 | prec0:0.4878 | prec1:0.5084 | prec2:0.5305 | recall0:0.5774  | recall1:0.4280 | recall2:0.5142
Epoch: 5 | loss:0.44 | acc:0.5101 | prec0:0.5287 | prec1:0.4861 | prec2:0.5176 | recall0:0.4525  | recall1:0.5072 | recall2:0.5710
Epoch: 6 | loss:0.85 | acc:0.4914 | prec0:0.4885 | prec1:0.4701 | prec2:0.5232 | recall0:0.5427  | recall1:0.5061 | recall2:0.4253
Epoch: 7 | loss:0.28 | acc:0.5400 | prec0:0.5271 | prec1:0.5481 | prec2:0.5459 | recall0:0.5393  | recall1:0.4798 | recall2:0.5998
Epoch: 8 | loss:0.44 | acc:0.5348 | prec0:0.5350 | prec1:0.5436 | prec2:0.5282 | recall0:0.5168  | recall1:0.4676 | recall2:0.6188
Epoch: 9 | loss:0.25 | acc:0.5285 | prec0:0.5583 | prec1:0.4931 | prec2:0.5447 | recall0:0.4636  | recall1:0.5816 | recall2:0.5422
Epoch:10 | loss:0.95 | acc:0.5456 | prec0:0.5217 | prec1:0.5402 | prec2:0.5807 | recall0:0.6003  | recall1:0.4916 | recall2:0.5433
Epoch:11 | loss:1.56 | acc:0.5370 | prec0:0.5263 | prec1:0.5340 | prec2:0.5507 | recall0:0.5467  | recall1:0.4996 | recall2:0.5639
Epoch:12 | loss:1.02 | acc:0.5450 | prec0:0.5489 | prec1:0.5485 | prec2:0.5389 | recall0:0.5393  | recall1:0.4916 | recall2:0.6031
Epoch:13 | loss:0.04 | acc:0.5523 | prec0:0.5709 | prec1:0.5302 | prec2:0.5588 | recall0:0.4747  | recall1:0.5614 | recall2:0.6218
Epoch:14 | loss:0.48 | acc:0.5624 | prec0:0.5435 | prec1:0.6002 | prec2:0.5565 | recall0:0.5977  | recall1:0.4486 | recall2:0.6383
Epoch:15 | loss:0.49 | acc:0.5595 | prec0:0.5468 | prec1:0.5515 | prec2:0.5808 | recall0:0.5356  | recall1:0.5751 | recall2:0.5684
Epoch:16 | loss:0.52 | acc:0.5461 | prec0:0.5574 | prec1:0.5466 | prec2:0.5365 | recall0:0.5223  | recall1:0.4981 | recall2:0.6173
Epoch:17 | loss:0.28 | acc:0.5583 | prec0:0.5507 | prec1:0.5446 | prec2:0.5786 | recall0:0.5416  | recall1:0.5419 | recall2:0.5912
Epoch:18 | loss:0.07 | acc:0.5709 | prec0:0.5628 | prec1:0.5868 | prec2:0.5666 | recall0:0.5807  | recall1:0.4947 | recall2:0.6357
Epoch:19 | loss:0.25 | acc:0.5554 | prec0:0.5418 | prec1:0.5548 | prec2:0.5692 | recall0:0.5630  | recall1:0.4916 | recall2:0.6102
Epoch:20 | loss:0.11 | acc:0.5694 | prec0:0.5539 | prec1:0.5562 | prec2:0.6014 | recall0:0.6095  | recall1:0.5377 | recall2:0.5598
Epoch:21 | loss:0.27 | acc:0.5625 | prec0:0.5435 | prec1:0.5546 | prec2:0.5915 | recall0:0.5866  | recall1:0.5248 | recall2:0.5751
Epoch:22 | loss:0.68 | acc:0.5710 | prec0:0.5931 | prec1:0.5333 | prec2:0.5923 | recall0:0.5164  | recall1:0.5945 | recall2:0.6031
Epoch:23 | loss:0.55 | acc:0.5624 | prec0:0.5582 | prec1:0.5552 | prec2:0.5719 | recall0:0.5419  | recall1:0.5095 | recall2:0.6349
Epoch:24 | loss:0.07 | acc:0.5744 | prec0:0.5613 | prec1:0.5712 | prec2:0.5904 | recall0:0.5900  | recall1:0.5183 | recall2:0.6136
Epoch:25 | loss:0.12 | acc:0.5711 | prec0:0.5596 | prec1:0.5729 | prec2:0.5811 | recall0:0.5892  | recall1:0.4943 | recall2:0.6282
Epoch:26 | loss:0.07 | acc:0.5700 | prec0:0.5956 | prec1:0.5241 | prec2:0.6018 | recall0:0.5223  | recall1:0.6170 | recall2:0.5721
Epoch:27 | loss:0.60 | acc:0.5741 | prec0:0.5591 | prec1:0.5549 | prec2:0.6119 | recall0:0.5996  | recall1:0.5530 | recall2:0.5691
Epoch:28 | loss:0.23 | acc:0.5671 | prec0:0.5539 | prec1:0.5489 | prec2:0.5993 | recall0:0.5767  | recall1:0.5389 | recall2:0.5852
Epoch:29 | loss:0.12 | acc:0.5747 | prec0:0.5773 | prec1:0.5626 | prec2:0.5834 | recall0:0.5571  | recall1:0.5511 | recall2:0.6158
Epoch:30 | loss:0.08 | acc:0.5683 | prec0:0.5821 | prec1:0.5252 | prec2:0.6037 | recall0:0.5537  | recall1:0.5827 | recall2:0.5688
Epoch:31 | loss:0.01 | acc:0.5771 | prec0:0.5888 | prec1:0.5404 | prec2:0.6076 | recall0:0.5427  | recall1:0.6040 | recall2:0.5856
Epoch:32 | loss:0.35 | acc:0.5698 | prec0:0.5552 | prec1:0.5556 | prec2:0.6021 | recall0:0.5925  | recall1:0.5633 | recall2:0.5531
Epoch:33 | loss:0.02 | acc:0.5761 | prec0:0.5760 | prec1:0.5494 | prec2:0.6052 | recall0:0.5471  | recall1:0.5930 | recall2:0.5889
Epoch:34 | loss:0.07 | acc:0.5740 | prec0:0.5825 | prec1:0.5588 | prec2:0.5798 | recall0:0.5360  | recall1:0.5393 | recall2:0.6465
Epoch:35 | loss:0.05 | acc:0.5776 | prec0:0.5883 | prec1:0.5666 | prec2:0.5773 | recall0:0.5674  | recall1:0.5252 | recall2:0.6394
Epoch:36 | loss:0.27 | acc:0.5775 | prec0:0.5600 | prec1:0.5651 | prec2:0.6080 | recall0:0.5900  | recall1:0.5389 | recall2:0.6028
Epoch:37 | loss:0.16 | acc:0.5679 | prec0:0.5760 | prec1:0.5491 | prec2:0.5791 | recall0:0.5471  | recall1:0.5728 | recall2:0.5841
Epoch:38 | loss:0.11 | acc:0.5734 | prec0:0.5664 | prec1:0.5562 | prec2:0.5972 | recall0:0.5770  | recall1:0.5465 | recall2:0.5960
Epoch:39 | loss:0.36 | acc:0.5794 | prec0:0.5684 | prec1:0.5553 | prec2:0.6160 | recall0:0.5863  | recall1:0.5602 | recall2:0.5912
Epoch:40 | loss:0.30 | acc:0.5736 | prec0:0.6048 | prec1:0.5271 | prec2:0.5994 | recall0:0.5168  | recall1:0.6082 | recall2:0.5972
Epoch:41 | loss:0.05 | acc:0.5881 | prec0:0.5932 | prec1:0.5663 | prec2:0.6036 | recall0:0.5711  | recall1:0.5602 | recall2:0.6327
Epoch:42 | loss:0.02 | acc:0.5762 | prec0:0.5685 | prec1:0.5542 | prec2:0.6085 | recall0:0.5859  | recall1:0.5694 | recall2:0.5732
Epoch:43 | loss:0.27 | acc:0.5779 | prec0:0.5733 | prec1:0.5666 | prec2:0.5919 | recall0:0.5663  | recall1:0.5351 | recall2:0.6315
Epoch:44 | loss:0.14 | acc:0.5816 | prec0:0.5690 | prec1:0.5830 | prec2:0.5927 | recall0:0.5770  | recall1:0.5450 | recall2:0.6222
Epoch:45 | loss:0.18 | acc:0.5816 | prec0:0.5848 | prec1:0.5643 | prec2:0.5942 | recall0:0.5870  | recall1:0.5419 | recall2:0.6151
Epoch:46 | loss:0.44 | acc:0.5817 | prec0:0.5694 | prec1:0.5817 | prec2:0.5954 | recall0:0.6217  | recall1:0.5248 | recall2:0.5972
Epoch:47 | loss:0.09 | acc:0.5816 | prec0:0.5984 | prec1:0.5714 | prec2:0.5756 | recall0:0.5648  | recall1:0.5366 | recall2:0.6428
Epoch:48 | loss:0.38 | acc:0.5949 | prec0:0.5670 | prec1:0.5956 | prec2:0.6282 | recall0:0.6550  | recall1:0.5271 | recall2:0.6005
