Epoch: 0 | loss:1.10 | acc:0.3979 | prec0:0.3707 | prec1:0.3659 | prec2:0.4750 | recall0:0.7698  | recall1:0.0394 | recall2:0.3785
Epoch: 1 | loss:1.14 | acc:0.3958 | prec0:0.4027 | prec1:0.3616 | prec2:0.4900 | recall0:0.0336  | recall1:0.7767 | recall2:0.3826
Epoch: 2 | loss:1.21 | acc:0.4415 | prec0:0.4084 | prec1:0.4626 | prec2:0.4835 | recall0:0.6426  | recall1:0.1393 | recall2:0.5404
Epoch: 3 | loss:0.85 | acc:0.4490 | prec0:0.4149 | prec1:0.5378 | prec2:0.4803 | recall0:0.6500  | recall1:0.0935 | recall2:0.6018
Epoch: 4 | loss:0.88 | acc:0.4732 | prec0:0.4410 | prec1:0.4892 | prec2:0.4965 | recall0:0.5081  | recall1:0.3393 | recall2:0.5726
Epoch: 5 | loss:1.02 | acc:0.4746 | prec0:0.4240 | prec1:0.5080 | prec2:0.5483 | recall0:0.6585  | recall1:0.3209 | recall2:0.4410
Epoch: 6 | loss:0.99 | acc:0.4928 | prec0:0.5162 | prec1:0.4772 | prec2:0.4914 | recall0:0.3832  | recall1:0.4831 | recall2:0.6151
Epoch: 7 | loss:0.85 | acc:0.5039 | prec0:0.5030 | prec1:0.4690 | prec2:0.5485 | recall0:0.4405  | recall1:0.5511 | recall2:0.5214
Epoch: 8 | loss:0.74 | acc:0.5063 | prec0:0.5281 | prec1:0.4729 | prec2:0.5265 | recall0:0.4242  | recall1:0.5473 | recall2:0.5491
Epoch: 9 | loss:1.35 | acc:0.5039 | prec0:0.4953 | prec1:0.4930 | prec2:0.5229 | recall0:0.4837  | recall1:0.4872 | recall2:0.5415
Epoch:10 | loss:0.78 | acc:0.5134 | prec0:0.5050 | prec1:0.4767 | prec2:0.5854 | recall0:0.5266  | recall1:0.5747 | recall2:0.4380
Epoch:11 | loss:0.81 | acc:0.5182 | prec0:0.5226 | prec1:0.4993 | prec2:0.5345 | recall0:0.4904  | recall1:0.5360 | recall2:0.5286
Epoch:12 | loss:0.79 | acc:0.5247 | prec0:0.5000 | prec1:0.5330 | prec2:0.5458 | recall0:0.5621  | recall1:0.4670 | recall2:0.5446
Epoch:13 | loss:0.73 | acc:0.5249 | prec0:0.5207 | prec1:0.5242 | prec2:0.5296 | recall0:0.5262  | recall1:0.4722 | recall2:0.5768
Epoch:14 | loss:0.65 | acc:0.5242 | prec0:0.5227 | prec1:0.5166 | prec2:0.5324 | recall0:0.4930  | recall1:0.5075 | recall2:0.5730
